 INVESTIGAÇÃO DENGUE A PARTIR DE 2014
Frequência por Mun infec SC e Sem.Epid.Sintomas
Classificacao Nova: Dengue com complicações, Febre Hemorrágica do Dengue, Síndrome do Choque do Dengue, Inconclusivo, Dengue, Dengue com sinais de alarme, Dengre grave
Período:2025
"Mun infec SC";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 24";"Semana 44";"Semana 52";"Total"
"420010 Abelardo Luz";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"420130 Araquari";0;1;2;2;1;0;1;7;2;0;3;0;0;0;0;19
"420170 Ascurra";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;2
"420205 Balneário Barra do Sul";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"420200 Balneário Camboriú";1;0;0;2;1;1;4;0;2;5;3;1;0;0;0;20
"421280 Balneário Piçarras";0;0;0;0;0;0;0;2;2;1;2;0;0;0;0;7
"420210 Barra Velha";0;1;0;1;1;6;1;1;6;4;1;0;0;0;0;22
"420230 Biguaçu";0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2
"420240 Blumenau";0;5;2;4;1;0;1;2;9;5;0;0;0;0;1;30
"420253 Bom Jesus";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"420245 Bombinhas";0;0;1;0;1;0;1;2;3;2;1;0;1;0;0;12
"420290 Brusque";0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;3
"420300 Caçador";0;0;0;0;0;4;2;0;5;7;15;2;0;0;0;35
"420310 Caibi";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"420320 Camboriú";0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;3
"420360 Campos Novos";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"420390 Capinzal";0;0;0;0;0;0;1;0;1;3;0;0;0;0;0;5
"420420 Chapecó";4;3;1;1;3;3;0;0;0;2;3;0;0;0;0;20
"420430 Concórdia";0;0;0;0;0;1;0;0;2;1;1;0;0;1;0;6
"420435 Cordilheira Alta";1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;3
"420450 Corupá";1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2
"420470 Cunha Porã";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"420490 Descanso";0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;2
"420500 Dionísio Cerqueira";1;0;0;2;0;1;1;1;0;0;0;0;0;0;0;6
"420540 Florianópolis";8;3;0;1;1;4;0;0;3;0;1;0;0;0;1;22
"420580 Garuva";0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2
"420590 Gaspar";1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;4
"420600 Governador Celso Ramos";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"420630 Guabiruba";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"420650 Guaramirim";0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;3
"420660 Guarujá do Sul";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"420690 Ibirama";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"420750 Indaial";0;0;0;0;2;0;0;1;0;1;0;0;0;0;0;4
"420765 Iporã do Oeste";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"420768 Ipuaçu";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"420800 Itá";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"420820 Itajaí";18;39;53;23;12;9;10;13;14;7;0;0;0;0;1;199
"420830 Itapema";1;2;3;2;1;4;13;12;17;16;3;0;0;0;0;74
"420840 Itapiranga";1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;3
"420845 Itapoá";1;1;0;0;0;0;0;0;0;2;1;0;0;0;0;5
"420880 Jaguaruna";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
"420890 Jaraguá do Sul";3;5;3;2;8;1;0;2;1;2;2;0;0;0;0;29
"420895 Jardinópolis";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"420900 Joaçaba";1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2
