Semana,ABELARDO LUZ,AGROLÂNDIA,ANCHIETA,APIÚNA,ARABUTÃ,ARAQUARI,ARARANGUÁ,ASCURRA,BALNEÁRIO BARRA DO SUL,BALNEÁRIO CAMBORIÚ,BALNEÁRIO GAIVOTA,BALNEÁRIO PIÇARRAS,BANDEIRANTE,BARRA VELHA,BELMONTE,BENEDITO NOVO,BIGUAÇU,BLUMENAU,BOM JESUS,BOMBINHAS,BRAÇO DO NORTE,BRUSQUE,CAIBI,CAMBORIÚ,CAMPO ERÊ,CAMPOS NOVOS,CANOINHAS,CAPINZAL,CATANDUVAS,CAXAMBU DO SUL,CAÇADOR,CHAPECÓ,CONCÓRDIA,CORDILHEIRA ALTA,CORUPÁ,CUNHA PORÃ,DESCANSO,DIONÍSIO CERQUEIRA,DONA EMMA,FAXINAL DOS GUEDES,FLOR DO SERTÃO,FLORIANÓPOLIS,FRAIBURGO,GARUVA,GASPAR,GOVERNADOR CELSO RAMOS,GUABIRUBA,GUARACIABA,GUARAMIRIM,GUARUJÁ DO SUL,GUATAMBÚ,HERVAL D'OESTE,IBIRAMA,ILHOTA,IMBITUBA,INDAIAL,IPORÃ DO OESTE,IPUAÇU,IPUMIRIM,IRANI,ITAIÓPOLIS,ITAJAÍ,ITAPEMA,ITAPIRANGA,ITAPOÁ,ITUPORANGA,ITÁ,JABORÁ,JAGUARUNA,JARAGUÁ DO SUL,JARDINÓPOLIS,JOAÇABA,JOINVILLE,LAJEADO GRANDE,LAURENTINO,LINDÓIA DO SUL,LONTRAS,MAFRA,MAJOR GERCINO,MARAVILHA,MODELO,MONDAÍ,MONTE CARLO,NAVEGANTES,NOVA TRENTO,OURO,PALHOÇA,PALMA SOLA,PALMITOS,PAPANDUVA,PARAÍSO,PASSO DE TORRES,PASSOS MAIA,PENHA,PETROLÂNDIA,PINHALZINHO,PIRATUBA,PLANALTO ALEGRE,POMERODE,PONTE SERRADA,PORTO BELO,PORTO UNIÃO,POUSO REDONDO,QUILOMBO,RIO DO OESTE,RIO DO SUL,RIO DOS CEDROS,RODEIO,ROMELÂNDIA,SANTA HELENA,SANTO AMARO DA IMPERATRIZ,SAUDADES,SCHROEDER,SEARA,SÃO BENTO DO SUL,SÃO CARLOS,SÃO FRANCISCO DO SUL,SÃO JOSÉ,SÃO JOSÉ DO CEDRO,SÃO JOÃO BATISTA,SÃO LOURENÇO DO OESTE,SÃO LUDGERO,SÃO MARTINHO,SÃO MIGUEL DO OESTE,TIJUCAS,TIMBÓ,TUBARÃO,VIDEIRA,XANXERÊ,XAXIM,ÁGUAS DE CHAPECÓ,ÁGUAS MORNAS,Município,Casos,latitude,longitude
2024-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PALHOÇA,7.0,-27.77182146966105,-48.66170819531588
2024-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAVEGANTES,1.0,-26.82874286660231,-48.72739585880501
2024-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SÃO JOSÉ,6.0,-27.57847109713233,-48.65625577254402
2024-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SÃO FRANCISCO DO SUL,1.0,-26.26159673750705,-48.64031938386047
2024-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BALNEÁRIO BARRA DO SUL,2.0,-26.446419426504228,-48.6525686779991
2024-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BALNEÁRIO CAMBORIÚ,2.0,-27.004736811989282,-48.62174059290786
2024-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARRA VELHA,1.0,-26.662440609824166,-48.72738559449102
2024-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RODEIO,1.0,-26.895097082819174,-49.35103649063635
2024-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DIONÍSIO CERQUEIRA,1.0,-26.329842624688034,-53.533104817609406
2024-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITAJAÍ,18.0,-26.96901297467498,-48.753417164343155
