Municipio,População,lat,lon
Abdon Batista,2600,-27.583824901720693,-51.0562628309725
Abelardo Luz,17389,-26.562426855567093,-52.25571912306015
Agrolândia,11010,-27.45511639364327,-49.82477985824378
Agronômica,6055,-27.327559429716437,-49.72074685728468
Água Doce,6286,-26.76446918157033,-51.61240583867837
Águas de Chapecó,5872,-27.054386024452793,-52.95673527930452
Águas Frias,2802,-26.851638850973643,-52.85231124188476
Águas Mornas,6765,-27.733480951801113,-48.936026935725984
Alfredo Wagner,10455,-27.70594673424535,-49.3307510700746
Alto Bela Vista,1859,-27.421535077481998,-51.92594839668161
Anchieta,5942,-26.532948184400585,-53.33310864178267
Angelina,5497,-27.543005676188848,-49.06722368187546
Anita Garibaldi,8286,-27.730321792809924,-51.07955798426662
Anitápolis,3463,-27.879775975302707,-49.13875010333535
Antônio Carlos,11295,-27.497474227181968,-48.83098179624291
Apiúna,11926,-27.124502359730975,-49.364244600271256
Arabutã,4378,-27.140868080616993,-52.18154485906579
Araquari,45462,-26.461708089601323,-48.75777734611065
Araranguá,72138,-28.9422934098757,-49.47117420910179
Armazém,8825,-28.237880638136094,-49.014677665017096
Arroio Trinta,3556,-26.92149911289856,-51.33667814298063
Arvoredo,2539,-27.07085356427636,-52.44198670964182
Ascurra,8408,-26.97363368202941,-49.39596551693794
Atalanta,3218,-27.437303896595758,-49.74255039033168
Aurora,6810,-27.32963166107603,-49.59034698790699
Balneário Arroio do Silva,15693,-29.019465075162362,-49.475056726291164
Balneário Camboriú,140036,-27.004736811989282,-48.62174059290786
Balneário Barra do Sul,14885,-26.446419426504228,-48.6525686779991
Balneário Gaivota,15353,-29.153516044807805,-49.61536798375303
Bandeirante,3144,-26.768595796097028,-53.64816794738197
Barra Bonita,1608,-26.66835784442113,-53.425055355047476
Barra Velha,45633,-26.662440609824166,-48.72738559449102
Bela Vista do Toldo,5863,-26.41807905207535,-50.486844299810116
Belmonte,2703,-26.857082065884523,-53.61806004596434
Benedito Novo,10484,-26.80094023363729,-49.43539636534986
Biguaçu,78623,-27.433529852830816,-48.69394689806006
Blumenau,363340,-26.885766673711007,-49.09730924738388
Bocaina do Sul,3514,-27.763117533335603,-49.909163039792034
Bombinhas,24416,-27.17325633187103,-48.51748707787348
Bom Jardim da Serra,4362,-28.361004608214945,-49.65245191624736
Bom Jesus,2721,-26.7390418954996,-52.389991137631434
Bom Jesus do Oeste,2182,-26.684020817771067,-53.095288071802216
Bom Retiro,8698,-27.785359887626676,-49.56300898690758
Botuverá,5368,-27.218576097272617,-49.123525799005755
Braço do Norte,34113,-28.240945450971008,-49.14236463397278
Braço do Trombudo,3954,-27.368598547286492,-49.90361664577843
Brunópolis,2488,-27.346967886467382,-50.84496052789365
Brusque,141676,-27.125000077860673,-48.90974338759385
Caçador,74105,-26.76301573603967,-51.08466522606485
Caibi,6199,-27.025175523184227,-53.26305757870258
