Semana,Município,Incidencia
2025-07-20,ABDON BATISTA,0.0
2025-07-20,CAMBORIÚ,22.288195280251767
2025-07-20,LEBON RÉGIS,0.0
2025-07-20,SANTIAGO DO SUL,0.0
2025-07-20,ITAPEMA,13.115270108987893
2025-07-20,CAIBI,16.13163413453783
2025-07-20,MACIEIRA,0.0
2025-07-20,SANTA TEREZINHA DO PROGRESSO,0.0
2025-07-20,ITAPIRANGA,0.0
2025-07-20,SANTA TEREZINHA,0.0
2025-07-20,BRUSQUE,8.470030209774414
2025-07-20,MAJOR VIEIRA,0.0
2025-07-20,ITAPOÁ,159.44811428199537
2025-07-20,URUSSANGA,0.0
2025-07-20,ITUPORANGA,0.0
2025-07-20,BRAÇO DO NORTE,2.9314337642540966
2025-07-20,MELEIRO,0.0
2025-07-20,SALTO VELOSO,0.0
2025-07-20,ITÁ,0.0
2025-07-20,BOTUVERÁ,0.0
2025-07-20,MIRIM DOCE,0.0
2025-07-20,SALTINHO,0.0
2025-07-20,ITAJAÍ,66.28452891619644
2025-07-20,IÇARA,0.0
2025-07-20,SANTO AMARO DA IMPERATRIZ,17.692852087756545
2025-07-20,CAMPO ALEGRE,0.0
2025-07-20,DONA EMMA,0.0
2025-07-20,SUL BRASIL,0.0
2025-07-20,IPUAÇU,0.0
2025-07-20,CANOINHAS,0.0
2025-07-20,ERMO,0.0
2025-07-20,SOMBRIO,0.0
2025-07-20,IPUMIRIM,0.0
2025-07-20,SERRA ALTA,0.0
2025-07-20,CANELINHA,15.675209655929148
2025-07-20,GRÃO-PARÁ,0.0
2025-07-20,IRACEMINHA,0.0
2025-07-20,SEARA,5.369704129302476
2025-07-20,IRANI,0.0
2025-07-20,CAMPOS NOVOS,0.0
2025-07-20,IBIAM,0.0
2025-07-20,SCHROEDER,29.683866818384207
2025-07-20,IRATI,0.0
2025-07-20,CAMPO ERÊ,0.0
2025-07-20,ITAIÓPOLIS,0.0
2025-07-20,SAUDADES,0.0
2025-07-20,IRINEÓPOLIS,9.710623422023694
2025-07-20,JACINTO MACHADO,0.0
2025-07-20,BOMBINHAS,110.5832241153342
2025-07-20,MONTE CARLO,0.0
2025-07-20,SALETE,0.0
2025-07-20,JUPIÁ,0.0
2025-07-20,BELMONTE,0.0
2025-07-20,PINHEIRO PRETO,0.0
2025-07-20,RANCHO QUEIMADO,0.0
2025-07-20,LACERDÓPOLIS,0.0
2025-07-20,BARRA VELHA,26.296758924462562
2025-07-20,PRESIDENTE CASTELLO BRANCO,0.0
2025-07-20,QUILOMBO,0.0
2025-07-20,LAGES,0.6064980197839654
2025-07-20,PRINCESA,0.0
2025-07-20,BARRA BONITA,0.0
2025-07-20,RIO DAS ANTAS,0.0
2025-07-20,LAGUNA,0.0
2025-07-20,PRESIDENTE NEREU,0.0
2025-07-20,LAJEADO GRANDE,0.0
2025-07-20,BANDEIRANTE,0.0
2025-07-20,RIO DO CAMPO,0.0
2025-07-20,PRESIDENTE GETÚLIO,0.0
2025-07-20,LAURENTINO,0.0
2025-07-20,BALNEÁRIO RINCÃO,0.0
2025-07-20,RIO FORTUNA,0.0
2025-07-20,RIO DO OESTE,0.0
2025-07-20,PETROLÂNDIA,14.885382554331647
2025-07-20,BENEDITO NOVO,9.538344143456696
2025-07-20,JOSÉ BOITEUX,0.0
2025-07-20,JABORÁ,0.0
2025-07-20,BOM JESUS DO OESTE,0.0
2025-07-20,MONTE CASTELO,0.0
2025-07-20,ROMELÂNDIA,0.0
2025-07-20,JAGUARUNA,0.0
2025-07-20,BOM JESUS,0.0
2025-07-20,MORRO GRANDE,0.0
2025-07-20,RODEIO,7.864726700747149
2025-07-20,JARAGUÁ DO SUL,23.796713984190706
2025-07-20,RIQUEZA,0.0
2025-07-20,CAPINZAL,4.313319530710835
2025-07-20,BOM JARDIM DA SERRA,0.0
2025-07-20,JARDINÓPOLIS,0.0
2025-07-20,RIO NEGRINHO,0.0
2025-07-20,JOAÇABA,6.6720042700827324
2025-07-20,BLUMENAU,20.917047393625804
2025-07-20,PEDRAS GRANDES,0.0
2025-07-20,RIO DOS CEDROS,0.0
2025-07-20,JOINVILLE,38.512635542631706
2025-07-20,BIGUAÇU,29.253526321814228
2025-07-20,PESCARIA BRAVA,0.0
2025-07-20,RIO DO SUL,0.0
2025-07-20,OTACÍLIO COSTA,0.0
2025-07-20,IPORÃ DO OESTE,0.0
2025-07-20,SÃO BENTO DO SUL,3.624939584340261
2025-07-20,CHAPADÃO DO LAGEADO,0.0
2025-07-20,GAROPABA,3.355592094225026
2025-07-20,CUNHATAÍ,0.0
2025-07-20,XAXIM,3.162055335968379
2025-07-20,TIJUCAS,52.55285604559971
2025-07-20,GARUVA,37.43916136278548
2025-07-20,TIGRINHOS,0.0
2025-07-20,CUNHA PORÃ,27.51283932501834
2025-07-20,ZORTÉA,0.0
2025-07-20,GASPAR,15.057560948900115
2025-07-20,TANGARÁ,0.0
2025-07-20,GOVERNADOR CELSO RAMOS,17.33502831387958
2025-07-20,CRICIÚMA,0.8654711625008654
2025-07-20,ÁGUA DOCE,0.0
2025-07-20,TAIÓ,0.0
2025-07-20,GRAVATAL,0.0
2025-07-20,CORUPÁ,111.20559952901158
2025-07-20,ÁGUAS DE CHAPECÓ,0.0
2025-07-20,SÃO PEDRO DE ALCÂNTARA,0.0
2025-07-20,GUABIRUBA,0.0
2025-07-20,CORREIA PINTO,0.0
2025-07-20,ÁGUAS FRIAS,71.3775874375446
2025-07-20,TIMBÓ,10.835644937586686
2025-07-20,XAVANTINA,0.0
2025-07-20,CURITIBANOS,0.0
2025-07-20,GALVÃO,0.0
2025-07-20,FAXINAL DOS GUEDES,0.0
2025-07-20,ERVAL VELHO,0.0
2025-07-20,VARGEM BONITA,0.0
2025-07-20,URUBICI,0.0
2025-07-20,FLOR DO SERTÃO,0.0
2025-07-20,ENTRE RIOS,0.0
2025-07-20,VARGEÃO,0.0
2025-07-20,UNIÃO DO OESTE,0.0
2025-07-20,FLORIANÓPOLIS,20.898641588296762
2025-07-20,TUNÁPOLIS,0.0
2025-07-20,SÃO MIGUEL DO OESTE,9.102079825240066
2025-07-20,DOUTOR PEDRINHO,0.0
2025-07-20,FORMOSA DO SUL,0.0
2025-07-20,TUBARÃO,0.0
