Semana,ABDON BATISTA,ABELARDO LUZ,ALFREDO WAGNER,ALTO BELA VISTA,ANCHIETA,ANITÁPOLIS,ANTÔNIO CARLOS,APIÚNA,ARABUTÃ,ARAQUARI,ARARANGUÁ,ARROIO TRINTA,ARVOREDO,ASCURRA,AURORA,BALNEÁRIO BARRA DO SUL,BALNEÁRIO CAMBORIÚ,BALNEÁRIO GAIVOTA,BALNEÁRIO PIÇARRAS,BALNEÁRIO RINCÃO,BANDEIRANTE,BARRA BONITA,BARRA VELHA,BELMONTE,BENEDITO NOVO,BIGUAÇU,BLUMENAU,BOM JARDIM DA SERRA,BOM JESUS,BOM JESUS DO OESTE,BOMBINHAS,BOTUVERÁ,BRAÇO DO NORTE,BRUSQUE,CAIBI,CAMBORIÚ,CAMPO ALEGRE,CAMPO ERÊ,CAMPOS NOVOS,CANELINHA,CANOINHAS,CAPINZAL,CAPIVARI DE BAIXO,CAPÃO ALTO,CATANDUVAS,CAXAMBU DO SUL,CAÇADOR,CELSO RAMOS,CHAPECÓ,COCAL DO SUL,CONCÓRDIA,CORDILHEIRA ALTA,CORONEL FREITAS,CORONEL MARTINS,CORREIA PINTO,CORUPÁ,CRICIÚMA,CUNHA PORÃ,CUNHATAÍ,CURITIBANOS,DESCANSO,DIONÍSIO CERQUEIRA,DOUTOR PEDRINHO,ENTRE RIOS,ERVAL VELHO,FAXINAL DOS GUEDES,FLOR DO SERTÃO,FLORIANÓPOLIS,FORMOSA DO SUL,FORQUILHINHA,FRAIBURGO,GALVÃO,GAROPABA,GARUVA,GASPAR,GOVERNADOR CELSO RAMOS,GRAVATAL,GUABIRUBA,GUARACIABA,GUARAMIRIM,GUARUJÁ DO SUL,GUATAMBÚ,HERVAL D'OESTE,IBICARÉ,IBIRAMA,ILHOTA,IMARUÍ,IMBITUBA,IMBUIA,INDAIAL,IOMERÊ,IPIRA,IPORÃ DO OESTE,IPUAÇU,IPUMIRIM,IRACEMINHA,IRANI,IRATI,IRINEÓPOLIS,ITAJAÍ,ITAPEMA,ITAPIRANGA,ITAPOÁ,ITUPORANGA,ITÁ,IÇARA,JABORÁ,JAGUARUNA,JARAGUÁ DO SUL,JARDINÓPOLIS,JOAÇABA,JOINVILLE,JOSÉ BOITEUX,JUPIÁ,LACERDÓPOLIS,LAGES,LAGUNA,LAJEADO GRANDE,LAURENTINO,LAURO MÜLLER,LEOBERTO LEAL,LINDÓIA DO SUL,LONTRAS,LUIZ ALVES,LUZERNA,MAFRA,MAJOR GERCINO,MARACAJÁ,MARAVILHA,MAREMA,MASSARANDUBA,MODELO,MONDAÍ,MORRO DA FUMAÇA,NAVEGANTES,NOVA ERECHIM,NOVA ITABERABA,NOVA TRENTO,NOVA VENEZA,NOVO HORIZONTE,ORLEANS,OURO,OURO VERDE,PAIAL,PALHOÇA,PALMA SOLA,PALMITOS,PAPANDUVA,PARAÍSO,PASSO DE TORRES,PASSOS MAIA,PAULO LOPES,PENHA,PERITIBA,PINHALZINHO,PIRATUBA,PLANALTO ALEGRE,POMERODE,PONTE ALTA,PONTE SERRADA,PORTO BELO,PORTO UNIÃO,POUSO REDONDO,PRESIDENTE GETÚLIO,PRESIDENTE NEREU,PRINCESA,QUILOMBO,RANCHO QUEIMADO,RIO DO OESTE,RIO DO SUL,RIO DOS CEDROS,RIO NEGRINHO,RIQUEZA,RODEIO,ROMELÂNDIA,SALETE,SALTINHO,SALTO VELOSO,SANTA HELENA,SANTA TEREZINHA,SANTA TEREZINHA DO PROGRESSO,SANTIAGO DO SUL,SANTO AMARO DA IMPERATRIZ,SAUDADES,SCHROEDER,SEARA,SERRA ALTA,SOMBRIO,SUL BRASIL,SÃO BENTO DO SUL,SÃO BERNARDINO,SÃO BONIFÁCIO,SÃO CARLOS,SÃO DOMINGOS,SÃO FRANCISCO DO SUL,SÃO JOSÉ,SÃO JOSÉ DO CEDRO,SÃO JOÃO BATISTA,SÃO JOÃO DO ITAPERIÚ,SÃO JOÃO DO OESTE,SÃO LOURENÇO DO OESTE,SÃO LUDGERO,SÃO MIGUEL DA BOA VISTA,SÃO MIGUEL DO OESTE,SÃO PEDRO DE ALCÂNTARA,TAIÓ,TANGARÁ,TIGRINHOS,TIJUCAS,TIMBÓ,TREZE TÍLIAS,TROMBUDO CENTRAL,TUBARÃO,TUNÁPOLIS,UNIÃO DO OESTE,URUBICI,URUSSANGA,VARGEM BONITA,VARGEÃO,VIDAL RAMOS,VIDEIRA,XANXERÊ,XAVANTINA,XAXIM,ZORTÉA,ÁGUA DOCE,ÁGUAS DE CHAPECÓ,ÁGUAS FRIAS,ÁGUAS MORNAS,AGROLÂNDIA,AGRONÔMICA,ANGELINA,ARMAZÉM,BALNEÁRIO ARROIO DO SILVA,BELA VISTA DO TOLDO,BOM RETIRO,BRAÇO DO TROMBUDO,CALMON,CAMPO BELO DO SUL,CHAPADÃO DO LAGEADO,DONA EMMA,ERMO,GRÃO-PARÁ,IBIAM,ITAIÓPOLIS,JACINTO MACHADO,LEBON RÉGIS,MACIEIRA,MAJOR VIEIRA,MELEIRO,MIRIM DOCE,MONTE CARLO,MONTE CASTELO,MORRO GRANDE,OTACÍLIO COSTA,PEDRAS GRANDES,PESCARIA BRAVA,PETROLÂNDIA,PINHEIRO PRETO,PRESIDENTE CASTELLO BRANCO,RIO DAS ANTAS,RIO DO CAMPO,RIO FORTUNA,RIO RUFINO,SANGÃO,SANTA CECÍLIA,SANTA ROSA DE LIMA,SANTA ROSA DO SUL,SIDERÓPOLIS,SÃO CRISTÓVÃO DO SUL,SÃO JOAQUIM,SÃO MARTINHO,TIMBÉ DO SUL,TIMBÓ GRANDE,TREVISO,TREZE DE MAIO,TRÊS BARRAS,TURVO,VARGEM,VITOR MEIRELES,WITMARSUM
2025-07-20,0,0,0,0,0,0,3,0,0,16,1,0,0,0,0,11,68,3,4,0,0,0,12,0,1,23,76,0,0,0,27,0,1,12,1,25,0,0,0,2,0,1,1,0,0,0,4,0,63,0,3,0,0,0,0,17,2,3,0,0,0,0,0,0,0,0,0,120,0,0,0,0,1,7,11,3,0,0,0,13,0,1,0,0,2,9,0,1,0,12,0,0,0,0,0,0,0,0,1,193,10,0,49,0,0,0,0,0,46,0,2,238,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,25,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,7,0,1,0,0,2,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,6,1,0,0,0,3,0,0,0,0,16,97,0,0,0,0,3,1,0,4,0,0,0,0,26,5,0,0,0,0,0,0,0,0,0,0,7,9,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-03,0,1,0,0,0,0,2,0,0,16,2,0,0,0,0,9,40,3,4,0,0,0,14,0,0,22,62,0,0,0,28,0,3,11,0,20,0,0,0,2,0,1,1,0,0,0,4,0,57,0,1,0,0,0,0,8,2,2,0,0,0,0,0,0,0,0,0,113,0,0,0,0,1,5,6,2,0,0,0,10,0,2,0,0,2,5,0,1,0,7,0,0,0,0,0,0,0,0,0,157,8,0,44,0,0,0,0,0,46,0,2,222,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,26,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,4,0,3,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,4,1,0,0,0,4,0,0,0,0,11,87,0,0,0,0,1,0,0,3,0,0,0,0,31,6,0,0,1,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-10,0,2,0,0,0,0,2,0,0,20,2,0,0,0,0,6,32,2,4,0,0,0,13,0,0,21,49,0,0,0,28,0,4,14,0,18,0,0,0,2,0,1,2,0,0,0,8,0,46,0,2,1,0,0,0,2,4,1,0,0,0,0,0,0,0,1,0,104,0,0,0,1,1,4,10,3,0,0,0,12,0,2,0,0,0,7,0,0,0,5,0,0,0,0,0,0,0,1,0,121,13,1,30,0,0,0,0,0,43,0,1,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,21,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,3,0,3,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,2,1,0,0,0,3,0,0,0,0,7,87,0,1,0,0,2,0,0,3,0,0,0,0,28,5,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-17,0,0,0,0,0,0,3,0,0,21,0,0,0,0,0,9,41,4,5,0,0,0,11,0,0,23,46,0,0,0,24,0,4,12,0,18,0,0,0,2,0,1,1,0,0,0,10,0,51,0,4,2,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,6,3,2,0,0,0,9,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,118,9,1,39,0,0,0,0,0,43,0,1,196,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,23,0,0,0,0,0,0,1,0,1,23,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,3,0,0,0,0,4,73,0,0,0,0,2,0,0,4,0,0,0,0,20,5,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-24,0,1,0,0,0,0,4,0,0,14,1,0,0,0,0,9,41,2,2,0,0,0,9,0,0,16,33,0,0,0,42,0,4,11,0,15,0,0,0,1,0,0,2,0,0,0,10,0,41,0,2,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,5,5,2,1,0,0,14,0,0,0,0,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,120,6,1,33,0,0,0,0,0,34,0,3,212,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,18,0,0,0,0,0,0,1,0,0,23,0,0,0,0,0,0,0,3,0,2,0,0,4,0,0,9,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,3,0,0,0,0,3,68,0,0,0,0,0,3,0,1,0,0,0,0,17,4,0,0,2,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-31,0,0,0,0,0,0,9,0,0,11,2,0,0,0,0,6,28,2,4,0,0,0,8,0,0,20,48,0,0,0,40,0,2,13,0,18,0,0,0,0,0,10,1,0,0,0,21,0,42,1,3,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,87,0,0,0,0,1,4,3,2,0,0,0,9,0,0,0,0,2,0,0,0,0,7,0,0,0,0,1,0,0,0,0,121,4,2,26,0,2,0,0,0,30,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,19,0,0,0,0,0,0,2,0,0,28,0,0,0,0,0,0,0,12,0,5,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,3,0,0,0,0,4,55,0,0,0,0,0,1,0,2,0,0,0,0,18,6,1,0,2,0,0,0,0,0,0,0,3,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-09-07,0,0,0,0,0,0,7,0,0,12,2,0,0,0,0,5,39,0,3,0,0,0,7,0,0,16,53,0,0,0,32,0,4,13,0,23,0,0,0,0,0,2,1,0,0,0,18,0,40,1,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,84,0,0,0,0,1,6,4,4,0,1,0,6,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,127,3,4,22,0,2,0,0,0,28,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,0,0,0,0,0,0,1,0,0,26,0,0,0,0,0,0,0,13,0,5,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,3,0,0,0,0,5,53,0,0,0,0,0,1,0,1,0,0,0,0,17,4,0,0,3,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-09-14,0,0,0,0,0,0,5,0,0,13,2,0,0,0,0,2,32,0,4,0,0,0,17,0,0,20,57,0,0,0,20,0,4,15,0,29,0,0,0,0,0,8,0,0,0,0,2,0,56,0,1,2,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0,92,0,0,0,0,1,12,4,2,0,0,0,8,0,0,0,0,0,4,0,0,0,5,0,0,0,1,0,0,0,0,0,142,8,1,38,0,6,0,0,0,33,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,18,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,11,0,4,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,4,0,0,3,0,4,48,0,0,0,0,2,1,0,2,0,0,0,0,24,2,0,0,2,0,0,0,0,0,0,0,5,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-09-21,0,1,0,0,1,0,5,0,0,21,2,0,0,0,0,3,22,1,3,0,0,0,9,0,0,16,28,0,0,0,21,0,2,20,0,13,0,0,0,0,0,1,0,0,0,0,22,0,65,0,2,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,1,6,3,5,0,0,0,12,0,0,0,0,0,6,0,2,0,3,0,0,0,0,0,0,0,0,0,161,4,1,38,0,1,0,0,0,35,0,1,209,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,15,0,0,0,0,0,0,1,0,0,20,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,4,0,5,50,0,0,0,0,0,5,0,3,1,0,0,0,8,2,0,0,7,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-09-28,0,0,0,0,0,0,3,0,0,9,1,0,0,0,0,9,45,1,1,0,0,0,5,0,0,17,39,0,0,0,38,0,2,10,0,14,0,0,0,0,0,1,1,0,0,0,8,0,39,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,3,4,3,0,0,0,9,0,0,0,0,2,5,0,0,0,4,0,0,0,0,1,0,0,0,0,101,5,0,27,0,0,0,0,0,32,0,1,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,15,0,0,0,0,0,0,2,0,0,22,0,0,0,0,0,0,0,4,0,2,0,0,6,0,0,9,2,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,3,0,0,0,0,2,51,0,0,0,0,0,2,0,1,0,0,0,0,20,6,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
