Semana,Município,Casos
2025-08-03,ABDON BATISTA,0
2025-08-03,LACERDÓPOLIS,0
2025-08-03,LAGES,0
2025-08-03,LAGUNA,0
2025-08-03,LAJEADO GRANDE,0
2025-08-03,BIGUAÇU,0
2025-08-03,LAURENTINO,0
2025-08-03,AGROLÂNDIA,0
2025-08-03,SANGÃO,0
2025-08-03,LAURO MÜLLER,0
2025-08-03,BENEDITO NOVO,0
2025-08-03,LEOBERTO LEAL,0
2025-08-03,LINDÓIA DO SUL,0
2025-08-03,LONTRAS,0
2025-08-03,LUIZ ALVES,0
2025-08-03,LUZERNA,0
2025-08-03,BELMONTE,0
2025-08-03,MAFRA,0
2025-08-03,ITAIÓPOLIS,0
2025-08-03,MAJOR GERCINO,0
2025-08-03,JUPIÁ,0
2025-08-03,JOSÉ BOITEUX,0
2025-08-03,BOM JESUS DO OESTE,0
2025-08-03,ITAPIRANGA,0
2025-08-03,ITAPOÁ,1
2025-08-03,ITUPORANGA,0
2025-08-03,ITÁ,0
2025-08-03,IÇARA,0
2025-08-03,BOM JESUS,0
2025-08-03,JABORÁ,0
2025-08-03,JAGUARUNA,0
2025-08-03,SANTA ROSA DE LIMA,0
2025-08-03,JARAGUÁ DO SUL,0
2025-08-03,BOM JARDIM DA SERRA,0
2025-08-03,AGRONÔMICA,0
2025-08-03,JARDINÓPOLIS,0
2025-08-03,MONTE CARLO,0
2025-08-03,JOAÇABA,0
2025-08-03,JOINVILLE,1
2025-08-03,BLUMENAU,1
2025-08-03,MARACAJÁ,0
2025-08-03,MARAVILHA,0
2025-08-03,ÁGUAS MORNAS,0
2025-08-03,PAIAL,0
2025-08-03,PALHOÇA,2
2025-08-03,BALNEÁRIO PIÇARRAS,0
2025-08-03,PALMA SOLA,0
2025-08-03,ÁGUAS DE CHAPECÓ,0
2025-08-03,PALMITOS,0
2025-08-03,PAPANDUVA,0
2025-08-03,PARAÍSO,0
2025-08-03,PASSO DE TORRES,0
2025-08-03,BALNEÁRIO GAIVOTA,0
2025-08-03,JACINTO MACHADO,0
2025-08-03,PASSOS MAIA,0
2025-08-03,PAULO LOPES,0
2025-08-03,PENHA,0
2025-08-03,RIO DAS ANTAS,0
2025-08-03,BALNEÁRIO CAMBORIÚ,1
2025-08-03,PERITIBA,0
2025-08-03,OURO VERDE,0
2025-08-03,RIO DO CAMPO,0
2025-08-03,OURO,0
2025-08-03,BALNEÁRIO RINCÃO,0
2025-08-03,BARRA VELHA,0
2025-08-03,MAREMA,0
2025-08-03,RIO RUFINO,0
2025-08-03,MASSARANDUBA,0
2025-08-03,MODELO,0
2025-08-03,MONDAÍ,0
2025-08-03,BARRA BONITA,0
2025-08-03,MORRO DA FUMAÇA,0
2025-08-03,ITAPEMA,2
2025-08-03,NAVEGANTES,0
2025-08-03,NOVA ITABERABA,0
2025-08-03,ÁGUAS FRIAS,0
2025-08-03,BANDEIRANTE,0
2025-08-03,VARGEM,0
2025-08-03,NOVA TRENTO,0
2025-08-03,NOVA VENEZA,0
2025-08-03,NOVO HORIZONTE,0
2025-08-03,ORLEANS,0
2025-08-03,NOVA ERECHIM,0
2025-08-03,PINHALZINHO,0
2025-08-03,ARMAZÉM,0
2025-08-03,IRINEÓPOLIS,0
2025-08-03,CUNHATAÍ,0
2025-08-03,CURITIBANOS,0
2025-08-03,DESCANSO,0
2025-08-03,CANELINHA,0
2025-08-03,DIONÍSIO CERQUEIRA,0
2025-08-03,DOUTOR PEDRINHO,0
2025-08-03,ENTRE RIOS,0
2025-08-03,CHAPADÃO DO LAGEADO,0
2025-08-03,CAMPOS NOVOS,0
2025-08-03,TIMBÉ DO SUL,0
2025-08-03,ERVAL VELHO,0
2025-08-03,FAXINAL DOS GUEDES,0
2025-08-03,FLOR DO SERTÃO,0
2025-08-03,FLORIANÓPOLIS,57
2025-08-03,FORMOSA DO SUL,0
2025-08-03,CAMPO ERÊ,0
2025-08-03,FORQUILHINHA,0
2025-08-03,CUNHA PORÃ,0
2025-08-03,FRAIBURGO,0
2025-08-03,CRICIÚMA,0
2025-08-03,CORUPÁ,0
2025-08-03,ERMO,0
2025-08-03,CATANDUVAS,0
2025-08-03,CAXAMBU DO SUL,0
2025-08-03,CAÇADOR,0
2025-08-03,CELSO RAMOS,0
2025-08-03,CAPIVARI DE BAIXO,0
2025-08-03,TRÊS BARRAS,0
2025-08-03,CHAPECÓ,6
2025-08-03,COCAL DO SUL,0
2025-08-03,CONCÓRDIA,0
2025-08-03,CORDILHEIRA ALTA,0
2025-08-03,CAPINZAL,0
2025-08-03,CORONEL FREITAS,0
2025-08-03,TREVISO,0
2025-08-03,CORONEL MARTINS,0
2025-08-03,DONA EMMA,0
2025-08-03,CORREIA PINTO,0
2025-08-03,CANOINHAS,0
2025-08-03,GALVÃO,1
2025-08-03,GAROPABA,0
2025-08-03,CAMPO ALEGRE,0
2025-08-03,IMBITUBA,0
2025-08-03,IMBUIA,0
2025-08-03,BRAÇO DO NORTE,0
2025-08-03,INDAIAL,0
2025-08-03,IOMERÊ,0
2025-08-03,BALNEÁRIO ARROIO DO SILVA,0
2025-08-03,IPIRA,0
2025-08-03,IPORÃ DO OESTE,0
2025-08-03,BOTUVERÁ,0
2025-08-03,TURVO,0
2025-08-03,IPUAÇU,0
2025-08-03,IPUMIRIM,0
2025-08-03,IRACEMINHA,0
