Semana,Município,Incidencia
2025-07-13,ABDON BATISTA,0.0
2025-07-13,CAMBORIÚ,21.396667469041695
2025-07-13,LEBON RÉGIS,0.0
2025-07-13,SANTIAGO DO SUL,0.0
2025-07-13,ITAPEMA,14.426797119886682
2025-07-13,CAIBI,0.0
2025-07-13,MACIEIRA,0.0
2025-07-13,SANTA TEREZINHA DO PROGRESSO,0.0
2025-07-13,ITAPIRANGA,0.0
2025-07-13,SANTA TEREZINHA,0.0
2025-07-13,BRUSQUE,11.999209463847087
2025-07-13,MAJOR VIEIRA,0.0
2025-07-13,ITAPOÁ,156.19407113338323
2025-07-13,URUSSANGA,0.0
2025-07-13,ITUPORANGA,0.0
2025-07-13,BRAÇO DO NORTE,2.9314337642540966
2025-07-13,MELEIRO,0.0
2025-07-13,SALTO VELOSO,0.0
2025-07-13,ITÁ,0.0
2025-07-13,BOTUVERÁ,0.0
2025-07-13,MIRIM DOCE,0.0
2025-07-13,SALTINHO,0.0
2025-07-13,ITAJAÍ,54.60746164598566
2025-07-13,IÇARA,0.0
2025-07-13,SANTO AMARO DA IMPERATRIZ,7.077140835102619
2025-07-13,CAMPO ALEGRE,0.0
2025-07-13,DONA EMMA,0.0
2025-07-13,SUL BRASIL,0.0
2025-07-13,IPUAÇU,0.0
2025-07-13,CANOINHAS,0.0
2025-07-13,ERMO,0.0
2025-07-13,SOMBRIO,0.0
2025-07-13,IPUMIRIM,0.0
2025-07-13,SERRA ALTA,0.0
2025-07-13,CANELINHA,23.512814483893724
2025-07-13,GRÃO-PARÁ,0.0
2025-07-13,IRACEMINHA,0.0
2025-07-13,SEARA,0.0
2025-07-13,IRANI,0.0
2025-07-13,CAMPOS NOVOS,2.7044569450454348
2025-07-13,IBIAM,0.0
2025-07-13,SCHROEDER,34.63117795478158
2025-07-13,IRATI,0.0
2025-07-13,CAMPO ERÊ,0.0
2025-07-13,ITAIÓPOLIS,0.0
2025-07-13,SAUDADES,0.0
2025-07-13,IRINEÓPOLIS,0.0
2025-07-13,JACINTO MACHADO,0.0
2025-07-13,BOMBINHAS,172.01834862385323
2025-07-13,MONTE CARLO,0.0
2025-07-13,SALETE,0.0
2025-07-13,JUPIÁ,0.0
2025-07-13,BELMONTE,0.0
2025-07-13,PINHEIRO PRETO,0.0
2025-07-13,RANCHO QUEIMADO,0.0
2025-07-13,LACERDÓPOLIS,0.0
2025-07-13,BARRA VELHA,24.105362347424013
2025-07-13,PRESIDENTE CASTELLO BRANCO,0.0
2025-07-13,QUILOMBO,9.068649678062936
2025-07-13,LAGES,0.0
2025-07-13,PRINCESA,0.0
2025-07-13,BARRA BONITA,0.0
2025-07-13,RIO DAS ANTAS,0.0
2025-07-13,LAGUNA,0.0
2025-07-13,PRESIDENTE NEREU,0.0
2025-07-13,LAJEADO GRANDE,0.0
2025-07-13,BANDEIRANTE,0.0
2025-07-13,RIO DO CAMPO,0.0
2025-07-13,PRESIDENTE GETÚLIO,0.0
2025-07-13,LAURENTINO,0.0
2025-07-13,BALNEÁRIO RINCÃO,0.0
2025-07-13,RIO FORTUNA,0.0
2025-07-13,RIO DO OESTE,0.0
2025-07-13,PETROLÂNDIA,0.0
2025-07-13,BENEDITO NOVO,9.538344143456696
2025-07-13,JOSÉ BOITEUX,0.0
2025-07-13,JABORÁ,0.0
2025-07-13,BOM JESUS DO OESTE,0.0
2025-07-13,MONTE CASTELO,0.0
2025-07-13,ROMELÂNDIA,0.0
2025-07-13,JAGUARUNA,0.0
2025-07-13,BOM JESUS,0.0
2025-07-13,MORRO GRANDE,0.0
2025-07-13,RODEIO,0.0
2025-07-13,JARAGUÁ DO SUL,25.865993461076854
2025-07-13,RIQUEZA,0.0
2025-07-13,CAPINZAL,0.0
2025-07-13,BOM JARDIM DA SERRA,0.0
2025-07-13,JARDINÓPOLIS,0.0
2025-07-13,RIO NEGRINHO,0.0
2025-07-13,JOAÇABA,3.3360021350413662
2025-07-13,BLUMENAU,19.26570154676061
2025-07-13,PEDRAS GRANDES,0.0
2025-07-13,RIO DOS CEDROS,0.0
2025-07-13,JOINVILLE,40.45444909940306
2025-07-13,BIGUAÇU,31.79731121936329
2025-07-13,PESCARIA BRAVA,0.0
2025-07-13,RIO DO SUL,0.0
2025-07-13,OTACÍLIO COSTA,0.0
2025-07-13,IPORÃ DO OESTE,0.0
2025-07-13,SÃO BENTO DO SUL,2.416626389560174
2025-07-13,CHAPADÃO DO LAGEADO,0.0
2025-07-13,GAROPABA,3.355592094225026
2025-07-13,CUNHATAÍ,0.0
2025-07-13,XAXIM,6.324110671936758
2025-07-13,TIJUCAS,54.574119739661235
2025-07-13,GARUVA,53.48451623255068
2025-07-13,TIGRINHOS,0.0
2025-07-13,CUNHA PORÃ,18.34189288334556
2025-07-13,ZORTÉA,0.0
2025-07-13,GASPAR,8.213215063036426
2025-07-13,TANGARÁ,0.0
2025-07-13,GOVERNADOR CELSO RAMOS,5.778342771293193
2025-07-13,CRICIÚMA,2.163677906252164
2025-07-13,ÁGUA DOCE,0.0
2025-07-13,TAIÓ,0.0
2025-07-13,GRAVATAL,0.0
2025-07-13,CORUPÁ,32.7075292732387
2025-07-13,ÁGUAS DE CHAPECÓ,0.0
2025-07-13,SÃO PEDRO DE ALCÂNTARA,17.56543123133673
2025-07-13,GUABIRUBA,4.068679306697046
2025-07-13,CORREIA PINTO,0.0
2025-07-13,ÁGUAS FRIAS,0.0
2025-07-13,TIMBÓ,13.002773925104021
2025-07-13,XAVANTINA,0.0
2025-07-13,CURITIBANOS,0.0
2025-07-13,GALVÃO,0.0
2025-07-13,FAXINAL DOS GUEDES,0.0
2025-07-13,ERVAL VELHO,0.0
2025-07-13,VARGEM BONITA,0.0
2025-07-13,URUBICI,0.0
2025-07-13,FLOR DO SERTÃO,0.0
2025-07-13,ENTRE RIOS,0.0
2025-07-13,VARGEÃO,0.0
2025-07-13,UNIÃO DO OESTE,0.0
2025-07-13,FLORIANÓPOLIS,20.027864855451064
2025-07-13,TUNÁPOLIS,0.0
2025-07-13,SÃO MIGUEL DO OESTE,2.2755199563100166
2025-07-13,DOUTOR PEDRINHO,0.0
2025-07-13,FORMOSA DO SUL,0.0
2025-07-13,TUBARÃO,0.0
2025-07-13,FORQUILHINHA,0.0
2025-07-13,DIONÍSIO CERQUEIRA,0.0
2025-07-13,VIDEIRA,1.7882369771642137
2025-07-13,TROMBUDO CENTRAL,14.13627367825841
2025-07-13,FRAIBURGO,0.0
2025-07-13,DESCANSO,0.0
2025-07-13,XANXERÊ,11.765167261461233
2025-07-13,TREZE TÍLIAS,0.0
2025-07-13,VIDAL RAMOS,0.0
2025-07-13,POUSO REDONDO,0.0
2025-07-13,GUARACIABA,0.0
2025-07-13,ÁGUAS MORNAS,0.0
2025-07-13,SÃO JOSÉ,34.793621633282186
2025-07-13,IMARUÍ,0.0
2025-07-13,CAÇADOR,9.446056271506647
2025-07-13,BOM RETIRO,0.0
2025-07-13,SÃO FRANCISCO DO SUL,28.610666056305792
2025-07-13,IMBITUBA,1.8430461867374395
2025-07-13,SÃO DOMINGOS,0.0
2025-07-13,CAXAMBU DO SUL,21.673168617251843
2025-07-13,BRAÇO DO TROMBUDO,0.0
2025-07-13,IMBUIA,0.0
2025-07-13,SÃO CARLOS,0.0
2025-07-13,INDAIAL,7.005842872956046
2025-07-13,CATANDUVAS,0.0
2025-07-13,CALMON,0.0
2025-07-13,SÃO BONIFÁCIO,0.0
2025-07-13,IOMERÊ,0.0
2025-07-13,CAPÃO ALTO,0.0
2025-07-13,CAMPO BELO DO SUL,0.0
2025-07-13,SÃO BERNARDINO,0.0
2025-07-13,IPIRA,0.0
2025-07-13,CAPIVARI DE BAIXO,0.0
2025-07-13,BELA VISTA DO TOLDO,0.0
2025-07-13,CELSO RAMOS,0.0
2025-07-13,ILHOTA,24.607510212116736
2025-07-13,SÃO JOSÉ DO CEDRO,0.0
2025-07-13,SÃO MIGUEL DA BOA VISTA,0.0
2025-07-13,GUARAMIRIM,32.25667713216636
2025-07-13,CORONEL FREITAS,9.70591089973794
2025-07-13,AGROLÂNDIA,0.0
2025-07-13,SÃO LUDGERO,0.0
2025-07-13,GUARUJÁ DO SUL,0.0
2025-07-13,SÃO LOURENÇO DO OESTE,4.03648986841043
2025-07-13,CORDILHEIRA ALTA,0.0
2025-07-13,AGRONÔMICA,0.0
2025-07-13,GUATAMBÚ,0.0
2025-07-13,CORONEL MARTINS,0.0
2025-07-13,SÃO JOÃO DO OESTE,0.0
2025-07-13,CONCÓRDIA,1.2251148545176112
2025-07-13,ANGELINA,0.0
2025-07-13,SÃO JOÃO DO ITAPERIÚ,0.0
2025-07-13,IBICARÉ,0.0
2025-07-13,COCAL DO SUL,0.0
2025-07-13,ARMAZÉM,0.0
2025-07-13,SÃO JOÃO BATISTA,3.0902348578491967
2025-07-13,IBIRAMA,0.0
2025-07-13,CHAPECÓ,20.306589687437786
2025-07-13,BALNEÁRIO ARROIO DO SILVA,0.0
2025-07-13,HERVAL D'OESTE,4.686255213458925
2025-07-13,LAURO MÜLLER,0.0
2025-07-13,SANTA HELENA,0.0
2025-07-13,ALTO BELA VISTA,0.0
2025-07-13,MONDAÍ,0.0
2025-07-13,ARVOREDO,0.0
2025-07-13,PASSO DE TORRES,15.533980582524272
2025-07-13,PONTE ALTA,0.0
2025-07-13,PALMA SOLA,0.0
2025-07-13,NOVA ITABERABA,0.0
2025-07-13,SÃO CRISTÓVÃO DO SUL,0.0
2025-07-13,PALHOÇA,20.70673349166237
2025-07-13,LONTRAS,0.0
2025-07-13,PONTE SERRADA,0.0
2025-07-13,TIMBÓ GRANDE,0.0
2025-07-13,PLANALTO ALEGRE,0.0
2025-07-13,VARGEM,0.0
2025-07-13,SANTA CECÍLIA,0.0
2025-07-13,ARABUTÃ,0.0
2025-07-13,NOVA TRENTO,0.0
