Semana,RIO DO SUL,MORRO DA FUMAÇA,MASSARANDUBA,ITAJAÍ,MARAVILHA,BLUMENAU,JOINVILLE,ARAQUARI,BALNEÁRIO CAMBORIÚ,CAÇADOR,ITAPEMA,CHAPECÓ,MAJOR GERCINO,CORUPÁ,BOMBINHAS,TUBARÃO,CORDILHEIRA ALTA,SÃO MIGUEL DO OESTE,CANOINHAS,GUARACIABA,BOM JESUS DO OESTE,PINHALZINHO,MODELO,GAROPABA,INDAIAL,BOM JESUS,CORONEL FREITAS,SÃO JOSÉ DO CEDRO,ITAPOÁ,SÃO LOURENÇO DO OESTE,CAIBI,SERRA ALTA,DESCANSO,FLORIANÓPOLIS,SAUDADES,XANXERÊ,GUATAMBÚ,BRUSQUE,PALMITOS,UNIÃO DO OESTE,NOVA ITABERABA,QUILOMBO,SÃO JOÃO BATISTA,SOMBRIO,CAMBORIÚ,LAGUNA,CUNHA PORÃ,PORTO BELO,NAVEGANTES,RIQUEZA,BALNEÁRIO PIÇARRAS,JARAGUÁ DO SUL,GASPAR,ÁGUAS DE CHAPECÓ,PENHA,SÃO CARLOS,TIJUCAS,SÃO JOSÉ,ANCHIETA,DIONÍSIO CERQUEIRA,SÃO FRANCISCO DO SUL,PALMA SOLA,FORMOSA DO SUL,XAXIM,NOVA ERECHIM,IPUAÇU,ITAPIRANGA,IRATI,GUARUJÁ DO SUL,ABELARDO LUZ,ENTRE RIOS,MONDAÍ,SANTA TEREZINHA DO PROGRESSO,CAMPO ERÊ,CONCÓRDIA,IPORÃ DO OESTE,BALNEÁRIO BARRA DO SUL,SEARA,SANTA HELENA,CAMPO ALEGRE,BARRA VELHA,PALHOÇA,TUNÁPOLIS,GARUVA,FLOR DO SERTÃO,ITÁ,ILHOTA,GUARAMIRIM,BELMONTE,SÃO BERNARDINO,ROMELÂNDIA,IPUMIRIM,SANTIAGO DO SUL,ALTO BELA VISTA,PRINCESA,PLANALTO ALEGRE,IRACEMINHA,SÃO MIGUEL DA BOA VISTA,CAXAMBU DO SUL,GUABIRUBA,ASCURRA,SÃO JOÃO DO OESTE,LINDÓIA DO SUL,FAXINAL DOS GUEDES,TIGRINHOS,VARGEÃO,PERITIBA,SALTINHO,PONTE SERRADA,XAVANTINA,PIRATUBA,CUNHATAÍ,PARAÍSO,RODEIO,NOVA TRENTO,LAJEADO GRANDE,IMBITUBA,BARRA BONITA,OURO VERDE,MAREMA,SÃO DOMINGOS,ÁGUAS FRIAS,TIMBÓ,SUL BRASIL,IPIRA,BRAÇO DO NORTE,IRANI,JOAÇABA,POMERODE,GALVÃO,IÇARA,CRICIÚMA,BIGUAÇU,BANDEIRANTE,APIÚNA,CANELINHA,NOVA VENEZA,BOTUVERÁ,URUBICI,LAURENTINO,PAIAL,JARDINÓPOLIS,URUSSANGA,ARABUTÃ,POUSO REDONDO,GOVERNADOR CELSO RAMOS,COCAL DO SUL,SCHROEDER,IBICARÉ,CATANDUVAS,RANCHO QUEIMADO,DOUTOR PEDRINHO,RIO DOS CEDROS,PASSO DE TORRES,SÃO LUDGERO,SANTO AMARO DA IMPERATRIZ,LUZERNA,PAULO LOPES,SÃO JOÃO DO ITAPERIÚ,ÁGUAS MORNAS,LAURO MÜLLER,ANTÔNIO CARLOS,FORQUILHINHA,MAFRA,SANTA TEREZINHA,GRAVATAL,PAPANDUVA,HERVAL D'OESTE,SÃO PEDRO DE ALCÂNTARA,PRESIDENTE GETÚLIO,ANITÁPOLIS,LEOBERTO LEAL,ALFREDO WAGNER,ITUPORANGA,SÃO BENTO DO SUL,SALETE,ORLEANS,SÃO BONIFÁCIO,CORONEL MARTINS,IBIRAMA,CAPINZAL,RIO NEGRINHO,TROMBUDO CENTRAL,LAGES,TREZE TÍLIAS,TAIÓ,CAMPOS NOVOS,NOVO HORIZONTE,FRAIBURGO,PASSOS MAIA,ARARANGUÁ,CURITIBANOS,VIDEIRA,BALNEÁRIO RINCÃO,IMBUIA,JAGUARUNA,PORTO UNIÃO,ARROIO TRINTA,LUIZ ALVES,CORREIA PINTO,ARVOREDO,CAPIVARI DE BAIXO,LONTRAS,JUPIÁ,ERVAL VELHO,CAPÃO ALTO,MARACAJÁ,AURORA,SALTO VELOSO,IMARUÍ,OURO,RIO DO OESTE,ZORTÉA,ÁGUA DOCE,ABDON BATISTA,JABORÁ,VARGEM BONITA,BENEDITO NOVO,VIDAL RAMOS,TANGARÁ,CELSO RAMOS,IOMERÊ,JOSÉ BOITEUX,BALNEÁRIO GAIVOTA,BOM JARDIM DA SERRA,IRINEÓPOLIS,LACERDÓPOLIS,PONTE ALTA,PRESIDENTE NEREU,DONA EMMA,ITAIÓPOLIS,PETROLÂNDIA
2025-01-26,0,0,0,50,1,118,171,62,4,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,27,0,0,0,5,0,0,0,1,5,0,6,0,0,0,4,0,8,8,1,3,19,0,19,15,0,0,14,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-09,0,0,0,97,2,201,275,62,6,0,2,5,0,0,5,0,1,2,0,0,0,0,0,0,3,0,0,1,3,0,0,0,0,40,0,0,0,6,0,0,0,0,10,0,8,0,0,2,9,0,17,10,1,5,23,0,32,14,0,1,20,0,0,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,7,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-16,0,0,0,378,2,333,497,70,9,1,10,8,0,0,8,0,0,5,0,0,0,0,0,0,5,1,0,1,3,0,2,0,0,61,2,0,0,13,1,0,0,1,13,0,19,0,0,4,19,0,34,12,3,10,35,0,39,22,0,2,28,0,0,0,0,0,29,0,0,0,0,0,0,0,1,0,1,0,0,0,9,5,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-23,0,0,0,639,12,646,848,114,15,0,13,17,0,0,24,0,0,7,0,0,0,1,0,0,25,2,0,1,9,0,0,0,0,88,8,0,0,25,1,0,0,1,10,0,29,0,0,6,47,0,39,24,4,10,60,1,60,22,0,1,30,0,1,2,0,0,58,0,5,0,0,0,0,0,4,0,1,0,2,0,12,7,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-02,0,0,0,828,18,878,1277,147,49,0,16,29,0,0,37,0,0,15,0,0,0,4,0,0,36,3,0,2,10,2,1,0,0,109,15,2,0,48,3,0,0,1,8,0,40,0,0,14,62,0,39,51,6,13,63,3,70,28,0,2,57,0,3,12,2,0,67,0,3,0,0,2,0,3,4,1,1,0,0,0,28,15,0,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-09,0,0,0,1000,27,1430,1557,156,63,1,16,70,0,0,66,0,1,15,0,0,0,3,0,0,63,3,0,1,38,2,1,0,1,120,26,5,0,52,4,0,0,0,20,0,44,0,0,20,100,0,34,113,26,72,54,9,93,29,0,2,60,1,22,18,3,1,69,0,25,0,0,3,0,3,6,0,1,0,3,0,30,7,0,5,0,0,9,0,0,0,0,0,0,0,0,1,0,0,34,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,18,0,0,0,0,2,0,0,1,0,1,12,0,0,0,7,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-16,0,0,0,952,29,1208,1988,132,105,1,13,27,0,0,51,0,1,17,0,0,0,5,0,0,152,7,0,0,44,3,1,0,3,111,7,9,1,58,8,0,0,1,35,0,32,0,0,17,98,2,55,160,26,88,45,22,99,71,0,2,138,2,25,27,8,4,69,0,21,0,4,4,0,9,15,5,4,0,3,0,36,8,2,15,0,0,12,6,0,0,0,0,0,0,0,0,0,0,30,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,34,0,1,0,0,2,0,0,7,0,1,19,0,0,0,1,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,10,0,0,1,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-23,0,0,0,701,25,1516,2202,161,127,5,18,33,0,0,60,0,0,18,0,0,0,3,0,0,127,8,0,2,44,16,2,0,0,83,10,6,2,58,9,1,0,0,36,0,44,0,0,22,112,2,73,141,20,84,42,28,91,34,0,3,142,3,20,70,7,1,62,0,15,0,6,12,0,18,29,1,3,0,0,0,34,9,2,18,0,0,20,2,0,0,0,0,0,0,0,1,0,0,30,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,32,0,2,0,0,2,0,0,10,0,1,14,0,0,2,2,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,0,4,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30,0,0,0,246,6,297,506,51,54,0,5,21,0,0,15,0,1,5,0,0,0,3,0,0,37,3,3,2,24,2,0,0,0,23,11,5,5,16,2,0,0,5,29,0,6,0,0,9,47,8,14,52,26,97,22,7,39,6,2,1,34,0,19,69,10,1,15,0,14,0,7,3,0,24,12,0,1,0,1,0,12,2,4,7,0,0,15,0,0,0,0,0,4,0,0,0,0,0,37,0,0,10,0,1,0,0,0,0,0,0,1,2,0,0,26,0,0,0,1,2,0,0,10,0,5,23,0,0,0,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-06,0,0,0,973,33,1388,1190,155,47,1,11,75,0,0,47,0,2,10,0,0,0,3,0,0,81,2,0,0,42,1,0,0,5,104,20,3,0,60,3,0,0,0,26,0,44,0,0,18,100,1,34,112,27,99,45,22,73,28,0,1,59,1,20,22,4,1,69,0,31,0,0,1,0,3,6,1,2,0,3,0,30,5,0,6,0,0,11,5,0,0,0,0,0,0,0,0,0,0,37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,1,3,0,0,1,0,1,15,0,0,0,4,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
