Semana,Município,Incidencia
2025-06-29,ABDON BATISTA,0.0
2025-06-29,JOSÉ BOITEUX,0.0
2025-06-29,IPUAÇU,0.0
2025-06-29,PONTE ALTA,0.0
2025-06-29,BARRA BONITA,0.0
2025-06-29,ANGELINA,0.0
2025-06-29,SÃO JOÃO DO OESTE,0.0
2025-06-29,CORONEL FREITAS,0.0
2025-06-29,SÃO JOÃO DO ITAPERIÚ,0.0
2025-06-29,CORONEL MARTINS,0.0
2025-06-29,BANDEIRANTE,0.0
2025-06-29,BALNEÁRIO ARROIO DO SILVA,0.0
2025-06-29,IPORÃ DO OESTE,0.0
2025-06-29,NOVA VENEZA,0.0
2025-06-29,JUPIÁ,0.0
2025-06-29,PONTE SERRADA,0.0
2025-06-29,NOVO HORIZONTE,0.0
2025-06-29,SÃO JOÃO BATISTA,0.0
2025-06-29,CORDILHEIRA ALTA,0.0
2025-06-29,AGRONÔMICA,0.0
2025-06-29,BENEDITO NOVO,9.538344143456696
2025-06-29,ÁGUAS FRIAS,0.0
2025-06-29,IRACEMINHA,0.0
2025-06-29,PLANALTO ALEGRE,0.0
2025-06-29,SÃO MIGUEL DA BOA VISTA,0.0
2025-06-29,ORLEANS,0.0
2025-06-29,COCAL DO SUL,0.0
2025-06-29,BELMONTE,0.0
2025-06-29,ÁGUAS MORNAS,0.0
2025-06-29,JOINVILLE,51.458059254440684
2025-06-29,SÃO LUDGERO,0.0
2025-06-29,CONCÓRDIA,0.0
2025-06-29,IPUMIRIM,0.0
2025-06-29,POMERODE,2.8819274330672355
2025-06-29,BARRA VELHA,19.72256919334692
2025-06-29,SÃO LOURENÇO DO OESTE,0.0
2025-06-29,CHAPECÓ,0.7963368504877563
2025-06-29,CORREIA PINTO,0.0
2025-06-29,BRAÇO DO TROMBUDO,0.0
2025-06-29,GRÃO-PARÁ,0.0
2025-06-29,SÃO DOMINGOS,0.0
2025-06-29,CUNHATAÍ,0.0
2025-06-29,INDAIAL,23.819865768050555
2025-06-29,POUSO REDONDO,0.0
2025-06-29,NOVA ERECHIM,0.0
2025-06-29,SÃO CARLOS,0.0
2025-06-29,BALNEÁRIO BARRA DO SUL,13.436345314074572
2025-06-29,IBIAM,0.0
2025-06-29,CURITIBANOS,0.0
2025-06-29,LAGUNA,0.0
2025-06-29,IMBUIA,0.0
