Semana,Município,Casos
2025-01-05,FLORIANÓPOLIS,1
2025-01-05,JOAÇABA,0
2025-01-05,NAVEGANTES,0
2025-01-05,IPUAÇU,1
2025-01-05,TIJUCAS,0
2025-01-05,SCHROEDER,0
2025-01-05,LONTRAS,0
2025-01-05,SANTA HELENA,0
2025-01-05,LINDÓIA DO SUL,0
2025-01-05,CORDILHEIRA ALTA,0
2025-01-05,SÃO JOSÉ DO CEDRO,0
2025-01-05,ITAPOÁ,0
2025-01-05,ITAIÓPOLIS,0
2025-01-05,CAÇADOR,1
2025-01-05,GOVERNADOR CELSO RAMOS,0
2025-01-05,PALMA SOLA,0
2025-01-05,MARAVILHA,0
2025-01-05,TUBARÃO,0
2025-01-05,SÃO LOURENÇO DO OESTE,0
2025-01-05,XANXERÊ,0
2025-01-05,PETROLÂNDIA,0
2025-01-05,SÃO LUDGERO,0
2025-01-05,ABELARDO LUZ,0
2025-01-05,JARAGUÁ DO SUL,2
2025-01-05,ITAPIRANGA,0
2025-01-05,BALNEÁRIO BARRA DO SUL,0
2025-01-05,BALNEÁRIO PIÇARRAS,0
2025-01-05,PASSOS MAIA,1
2025-01-05,CAMPOS NOVOS,0
2025-01-05,IPORÃ DO OESTE,0
2025-01-05,DONA EMMA,0
2025-01-05,BOMBINHAS,0
2025-01-05,SEARA,0
2025-01-05,PALHOÇA,3
2025-01-05,BLUMENAU,0
2025-01-05,CELSO RAMOS,0
2025-01-05,BIGUAÇU,0
2025-01-05,JAGUARUNA,0
2025-01-05,GARUVA,0
2025-01-05,JOINVILLE,9
2025-01-05,CAPINZAL,0
2025-01-05,CAIBI,0
2025-01-05,CONCÓRDIA,1
2025-01-05,GUARUJÁ DO SUL,0
2025-01-05,JARDINÓPOLIS,0
2025-01-05,GUABIRUBA,0
2025-01-05,SÃO CARLOS,0
2025-01-05,PORTO UNIÃO,0
2025-01-05,CHAPECÓ,1
2025-01-05,GUARAMIRIM,0
2025-01-05,MONDAÍ,0
2025-01-05,BENEDITO NOVO,0
2025-01-05,POMERODE,0
2025-01-05,PINHALZINHO,0
2025-01-05,VIDEIRA,0
2025-01-05,DIONÍSIO CERQUEIRA,1
2025-01-05,ITÁ,0
2025-01-05,LAJEADO GRANDE,0
2025-01-05,ITAJAÍ,3
2025-01-05,POUSO REDONDO,0
2025-01-05,ITAPEMA,1
2025-01-05,GASPAR,0
2025-01-05,INDAIAL,0
2025-01-05,PORTO BELO,0
2025-01-05,CAMBORIÚ,0
2025-01-05,PENHA,0
2025-01-05,SÃO MIGUEL DO OESTE,3
2025-01-05,DESCANSO,0
2025-01-05,BALNEÁRIO CAMBORIÚ,1
2025-01-05,RODEIO,0
2025-01-05,CORUPÁ,0
2025-01-05,BARRA VELHA,2
2025-01-05,IBIRAMA,0
2025-01-05,SÃO JOSÉ,0
2025-01-05,BOM JESUS,0
2025-01-05,PALMITOS,0
2025-01-05,SÃO BENTO DO SUL,0
2025-01-05,BRUSQUE,0
2025-01-05,ARAQUARI,0
2025-01-05,CUNHA PORÃ,0
2025-01-05,RIO DO SUL,0
2025-01-05,SANTO AMARO DA IMPERATRIZ,0
2025-01-05,ASCURRA,0
2025-01-05,SÃO FRANCISCO DO SUL,0
2025-01-12,PENHA,0
2025-01-12,SEARA,0
2025-01-12,BALNEÁRIO PIÇARRAS,1
2025-01-12,CAMBORIÚ,0
2025-01-12,ARAQUARI,1
2025-01-12,SANTO AMARO DA IMPERATRIZ,0
2025-01-12,PASSOS MAIA,0
2025-01-12,CHAPECÓ,0
2025-01-12,TUBARÃO,0
2025-01-12,GARUVA,0
2025-01-12,CAPINZAL,0
2025-01-12,RIO DO SUL,0
2025-01-12,ITÁ,0
2025-01-12,NAVEGANTES,0
2025-01-12,PORTO UNIÃO,0
2025-01-12,SÃO BENTO DO SUL,0
2025-01-12,ITAPOÁ,0
2025-01-12,PINHALZINHO,0
2025-01-12,PETROLÂNDIA,0
2025-01-12,CONCÓRDIA,0
2025-01-12,GOVERNADOR CELSO RAMOS,0
2025-01-12,POMERODE,0
2025-01-12,TIJUCAS,0
2025-01-12,LINDÓIA DO SUL,0
2025-01-12,IBIRAMA,0
2025-01-12,RODEIO,0
2025-01-12,BLUMENAU,1
2025-01-12,GUARUJÁ DO SUL,0
