Semana,GASPAR,FLORIANÓPOLIS,PALHOÇA,BALNEÁRIO BARRA DO SUL,SÃO FRANCISCO DO SUL,SÃO LOURENÇO DO OESTE,JARAGUÁ DO SUL,JOINVILLE,DIONÍSIO CERQUEIRA,SCHROEDER,ITAJAÍ,SÃO LUDGERO,SÃO JOSÉ,ITAPOÁ,ITAPEMA,BLUMENAU,CHAPECÓ,IBIRAMA,NAVEGANTES,JOAÇABA,CORUPÁ,CORDILHEIRA ALTA,BALNEÁRIO CAMBORIÚ,RODEIO,SEARA,ARAQUARI,JAGUARUNA,TIJUCAS,BARRA VELHA,PENHA,POMERODE,GOVERNADOR CELSO RAMOS,BOMBINHAS,GARUVA,GUARAMIRIM,SÃO MIGUEL DO OESTE,ASCURRA,LAJEADO GRANDE,ITAPIRANGA,MONDAÍ,MARAVILHA,LONTRAS,SÃO CARLOS,VIDEIRA,INDAIAL,BRUSQUE,GUABIRUBA,CAÇADOR,IPUAÇU,GUARUJÁ DO SUL,CONCÓRDIA,PASSOS MAIA,ITÁ,DONA EMMA,CAMBORIÚ,TUBARÃO,PORTO UNIÃO,XANXERÊ,IPORÃ DO OESTE,DESCANSO,CAIBI,LINDÓIA DO SUL,SANTO AMARO DA IMPERATRIZ,CAPINZAL,PINHALZINHO,CAMPOS NOVOS,BALNEÁRIO PIÇARRAS,SANTA HELENA,PALMA SOLA,SÃO JOSÉ DO CEDRO,CUNHA PORÃ,BIGUAÇU,PALMITOS,BENEDITO NOVO,PORTO BELO,BOM JESUS,SÃO BENTO DO SUL,POUSO REDONDO,ABELARDO LUZ,RIO DO SUL,JARDINÓPOLIS,PETROLÂNDIA,ITAIÓPOLIS,CELSO RAMOS
2025-02-16,0,3,3,0,0,0,2,15,0,0,16,0,5,0,9,2,2,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-02,0,2,2,0,0,0,1,15,0,0,16,0,4,0,10,2,1,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-09,0,2,2,0,0,0,2,17,0,0,21,0,5,0,10,3,1,0,0,0,0,0,2,0,0,2,0,1,3,0,0,0,0,0,0,17,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-16,0,0,3,0,0,0,2,20,0,0,12,0,6,0,12,5,0,0,0,0,0,0,1,0,0,2,0,1,3,0,0,0,1,0,0,18,0,0,0,1,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-23,0,2,4,0,0,0,1,20,0,0,6,0,4,0,13,5,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,1,0,0,22,0,0,0,0,0,0,0,4,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30,0,0,3,0,0,0,1,25,0,0,5,0,2,1,3,3,3,0,0,0,0,1,3,0,0,2,0,1,2,0,0,0,1,0,0,14,0,0,0,0,0,0,0,4,0,0,0,9,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2025-04-06,0,0,1,0,0,0,1,10,0,0,4,0,2,0,3,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-13,0,3,3,0,0,0,1,7,0,0,6,0,3,0,4,3,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-20,0,0,1,0,0,0,1,8,0,0,3,0,4,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-27,0,2,1,0,0,0,1,17,0,0,5,0,4,0,5,4,0,0,1,0,0,0,3,0,0,1,0,0,2,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-04,0,0,1,0,0,0,1,23,0,0,4,0,4,0,5,4,0,0,1,0,0,0,2,0,0,1,0,1,1,0,0,0,1,0,0,18,0,0,0,0,0,0,0,3,1,0,0,9,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
