Semana,JOINVILLE,JOAÇABA,JARAGUÁ DO SUL,ITAPOÁ,ITAPEMA,ITAJAÍ,BALNEÁRIO BARRA DO SUL,ITAPIRANGA,PALHOÇA,NAVEGANTES,BALNEÁRIO CAMBORIÚ,CHAPECÓ,BARRA VELHA,CORDILHEIRA ALTA,CORUPÁ,GASPAR,FLORIANÓPOLIS,DIONÍSIO CERQUEIRA,SÃO FRANCISCO DO SUL,SÃO LUDGERO,SEARA,SCHROEDER,SÃO LOURENÇO DO OESTE,SÃO JOSÉ,RODEIO,GOVERNADOR CELSO RAMOS,GARUVA,BLUMENAU,ARAQUARI,SÃO MIGUEL DO OESTE,TIJUCAS,BOMBINHAS,MARAVILHA,LONTRAS,PENHA,PASSOS MAIA,POMERODE,JAGUARUNA,ASCURRA,MONDAÍ,BRUSQUE,LAJEADO GRANDE,GUARAMIRIM,SÃO CARLOS,GUABIRUBA,GUARUJÁ DO SUL,DESCANSO,INDAIAL,IPUAÇU,VIDEIRA,CAÇADOR,CAMBORIÚ,CAIBI,IPORÃ DO OESTE,CONCÓRDIA,RIO DOS CEDROS,DONA EMMA,ITÁ,ILHOTA,CAPINZAL,TUBARÃO,PORTO UNIÃO,PINHALZINHO,XANXERÊ,LINDÓIA DO SUL,IBIRAMA,SANTO AMARO DA IMPERATRIZ,SANTA HELENA,BALNEÁRIO PIÇARRAS,AGROLÂNDIA,CAMPOS NOVOS,CUNHA PORÃ,SÃO JOSÉ DO CEDRO,BENEDITO NOVO,SÃO BENTO DO SUL,POUSO REDONDO,RIO DO SUL,PALMA SOLA,ABELARDO LUZ,BIGUAÇU,NOVA TRENTO,JARDINÓPOLIS,PORTO BELO,IMBITUBA,GUATAMBÚ,XAXIM,MAFRA,PAPANDUVA,CANOINHAS,CATANDUVAS,HERVAL D'OESTE,PETROLÂNDIA,SÃO JOÃO BATISTA,BALNEÁRIO GAIVOTA,ROMELÂNDIA,QUILOMBO,OURO,ITAIÓPOLIS,BELMONTE,TIMBÓ,IRANI,PALMITOS,FAXINAL DOS GUEDES,BANDEIRANTE,ÁGUAS DE CHAPECÓ,SAUDADES,BOM JESUS,PARAÍSO,ANCHIETA,PLANALTO ALEGRE,ÁGUAS MORNAS,MONTE CARLO,LAURENTINO,JABORÁ,PIRATUBA,ITUPORANGA,SÃO MARTINHO,PONTE SERRADA,MAJOR GERCINO,GUARACIABA,APIÚNA,BRAÇO DO NORTE,FRAIBURGO,RIO DO OESTE,MODELO,PASSO DE TORRES,ARARANGUÁ,ARABUTÃ,CAXAMBU DO SUL,FLOR DO SERTÃO,IPUMIRIM,CAMPO ERÊ
2025-03-23,40,0,4,1,28,75,0,0,17,0,7,83,9,1,1,0,3,0,0,0,0,0,0,17,0,0,0,11,4,67,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,21,1,0,0,10,0,0,0,0,1,1,0,2,2,0,0,0,0,3,0,0,2,2,0,0,0,0,3,0,2,0,8,0,0,1,1,0,0,0,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-06,53,0,4,0,26,102,0,0,22,0,11,84,16,0,1,1,5,1,0,0,0,0,0,20,0,0,0,14,9,68,7,8,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,38,20,1,0,0,10,0,0,0,0,4,1,0,8,3,0,0,0,0,7,0,0,7,10,0,0,0,0,4,0,3,0,11,0,0,0,2,0,0,0,16,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-13,79,0,6,0,20,147,0,0,34,0,16,94,24,0,2,0,7,0,0,0,0,1,0,27,0,0,0,20,11,90,14,6,1,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,39,20,5,0,0,15,0,0,0,0,2,1,0,14,3,0,0,0,0,10,0,0,9,11,0,0,0,2,3,0,3,0,15,0,0,0,2,0,0,0,16,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-20,65,0,6,0,18,172,0,0,32,0,19,61,18,0,1,1,4,0,0,0,0,0,0,21,0,0,0,23,15,51,11,11,4,0,2,0,0,0,0,0,3,0,0,0,0,0,1,0,0,38,10,3,0,0,12,0,0,0,0,5,0,0,11,5,0,1,1,0,11,0,0,9,13,0,0,0,1,3,0,3,0,14,1,0,0,0,0,0,0,11,2,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-27,67,0,8,0,21,140,0,0,27,0,24,49,26,0,1,1,4,0,0,0,0,0,0,25,0,0,0,27,12,35,12,8,3,0,3,0,0,0,0,0,3,0,0,0,0,0,2,1,0,31,6,6,0,0,10,0,0,0,0,5,0,0,9,4,0,0,1,0,11,0,0,11,12,0,0,0,2,4,0,2,0,11,1,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-04,71,0,7,0,15,97,0,0,33,0,24,32,21,0,2,1,4,0,0,0,0,0,0,24,0,0,0,32,13,25,12,11,1,0,3,0,0,0,1,0,2,0,0,0,0,0,2,0,0,22,5,2,0,0,11,0,0,0,0,3,0,0,11,1,0,0,0,0,15,0,0,9,10,0,0,0,3,2,0,1,0,11,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-11,61,0,9,0,6,54,0,0,13,1,18,19,21,0,1,0,4,0,0,0,0,0,0,23,0,0,0,25,13,24,15,8,4,0,2,0,0,0,0,0,3,0,0,0,0,0,1,0,0,18,6,0,0,0,8,0,0,0,0,7,0,0,16,3,0,0,0,0,10,0,0,7,12,0,0,0,2,1,0,1,0,8,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2025-05-18,45,0,6,0,4,67,0,0,22,1,15,20,18,0,1,0,3,0,0,0,0,0,0,22,0,0,0,20,9,17,16,8,3,0,5,0,0,0,0,0,2,0,1,0,0,0,0,1,0,14,6,1,0,0,5,0,0,0,0,4,0,0,10,2,0,0,0,0,9,0,0,4,9,0,0,0,2,0,0,1,0,6,0,0,0,1,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-25,53,0,7,0,9,119,0,0,32,2,16,33,19,0,1,0,4,0,0,0,0,0,0,23,0,0,0,20,9,24,15,9,3,0,4,0,0,0,0,0,3,0,1,0,0,0,2,1,0,21,4,1,0,0,5,0,0,0,0,5,0,0,10,3,0,0,0,0,11,0,0,5,11,0,0,0,1,1,0,1,0,6,0,0,0,1,0,0,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-01,63,0,6,0,13,113,0,0,24,2,20,60,23,0,2,0,4,0,0,0,1,0,0,23,0,0,0,25,13,33,15,8,2,0,4,0,0,0,0,0,3,0,1,0,0,0,4,1,0,28,6,3,0,0,15,0,0,0,0,5,0,0,12,3,0,0,0,0,13,0,0,9,11,0,0,0,2,3,0,1,0,14,0,0,0,2,0,0,0,4,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
