Semana,PALHOÇA,NAVEGANTES,SÃO JOSÉ,SÃO FRANCISCO DO SUL,BALNEÁRIO BARRA DO SUL,BALNEÁRIO CAMBORIÚ,BARRA VELHA,RODEIO,DIONÍSIO CERQUEIRA,ITAJAÍ,FLORIANÓPOLIS,GASPAR,ITAPIRANGA,ITAPEMA,JOINVILLE,CHAPECÓ,JARAGUÁ DO SUL,CORDILHEIRA ALTA,ITAPOÁ,CORUPÁ,JOAÇABA,SCHROEDER,SÃO LOURENÇO DO OESTE,SÃO LUDGERO,SEARA,BLUMENAU,ARAQUARI,GARUVA,GOVERNADOR CELSO RAMOS,BOMBINHAS,PASSOS MAIA,SÃO MIGUEL DO OESTE,MARAVILHA,LONTRAS,PENHA,POMERODE,TIJUCAS,JAGUARUNA,LAJEADO GRANDE,BRUSQUE,GUARAMIRIM,MONDAÍ,SÃO CARLOS,ASCURRA,DESCANSO,VIDEIRA,GUARUJÁ DO SUL,IPUAÇU,GUABIRUBA,INDAIAL,IPORÃ DO OESTE,CONCÓRDIA,CAMBORIÚ,CAIBI,CAÇADOR,TUBARÃO,RIO DOS CEDROS,XANXERÊ,DONA EMMA,PINHALZINHO,ILHOTA,ITÁ,CAPINZAL,PORTO UNIÃO,SANTO AMARO DA IMPERATRIZ,IBIRAMA,SÃO JOSÉ DO CEDRO,CAMPOS NOVOS,AGROLÂNDIA,BALNEÁRIO PIÇARRAS,LINDÓIA DO SUL,BENEDITO NOVO,SANTA HELENA,CUNHA PORÃ,POUSO REDONDO,SÃO BENTO DO SUL,PALMA SOLA,RIO DO SUL,BIGUAÇU,ABELARDO LUZ,JARDINÓPOLIS,PORTO BELO,NOVA TRENTO,XAXIM,GUATAMBÚ,IMBITUBA,PAPANDUVA,MAFRA,CATANDUVAS,CANOINHAS,HERVAL D'OESTE,SÃO JOÃO BATISTA,BALNEÁRIO GAIVOTA,QUILOMBO,PETROLÂNDIA,ROMELÂNDIA,OURO,BELMONTE,ITAIÓPOLIS,IRANI,SAUDADES,ÁGUAS DE CHAPECÓ,FAXINAL DOS GUEDES,BANDEIRANTE,TIMBÓ,PALMITOS,MONTE CARLO,PARAÍSO,BOM JESUS,LAURENTINO,ANCHIETA,PLANALTO ALEGRE,ÁGUAS MORNAS,JABORÁ,PONTE SERRADA,SÃO MARTINHO,APIÚNA,PIRATUBA,ITUPORANGA,BRAÇO DO NORTE,MAJOR GERCINO,GUARACIABA,ARARANGUÁ,MODELO,RIO DO OESTE,FRAIBURGO,PASSO DE TORRES,CAXAMBU DO SUL,FLOR DO SERTÃO,IPUMIRIM,CAMPO ERÊ,ARABUTÃ
2025-04-06,31,0,27,0,0,17,23,0,0,140,6,0,0,18,75,88,6,0,0,2,0,1,0,0,0,21,11,0,0,6,1,85,1,0,2,0,13,0,0,3,0,0,0,0,0,39,0,0,0,0,0,15,5,0,19,1,0,3,0,11,0,0,2,0,0,0,11,0,0,9,0,0,0,9,0,0,3,2,3,0,13,0,0,2,0,0,0,0,15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-20,28,0,23,0,0,18,17,0,0,167,4,1,0,22,63,61,6,0,0,1,0,0,0,0,0,23,16,0,0,11,0,53,3,0,2,0,9,0,0,3,0,0,0,0,1,38,0,0,0,0,0,13,2,0,9,0,0,4,0,12,0,0,5,0,1,1,12,0,0,11,0,0,0,8,0,0,3,1,3,0,13,0,0,0,0,0,0,0,10,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-27,27,0,25,0,0,23,26,0,0,148,4,1,0,21,65,45,7,0,0,1,0,0,0,0,0,27,13,0,0,8,0,33,3,0,3,0,12,0,0,3,0,0,0,0,2,31,0,0,0,1,0,11,6,0,6,0,0,4,0,9,0,0,5,0,1,0,11,0,0,11,0,0,0,11,0,0,3,2,2,0,11,1,0,1,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-04,30,0,23,0,0,23,20,0,0,78,3,1,0,16,66,32,7,0,0,2,0,0,0,0,0,31,12,0,0,10,0,26,1,0,3,0,13,0,0,2,0,0,0,1,2,20,0,0,0,0,0,11,2,0,6,0,0,2,0,9,0,0,3,0,0,0,10,0,0,14,0,0,0,9,0,0,1,3,1,0,11,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2025-05-11,12,1,23,0,0,17,21,0,0,49,4,0,1,7,62,17,9,0,0,1,0,0,0,0,0,26,12,0,0,8,0,21,4,0,4,0,15,0,0,3,0,0,0,0,1,17,0,0,0,0,0,8,0,0,5,0,0,3,0,17,0,0,7,0,0,0,12,0,0,10,0,0,0,7,0,0,1,2,1,0,9,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2025-05-18,20,2,21,0,0,12,19,0,0,56,3,0,0,3,41,17,6,0,0,1,0,0,0,0,0,20,9,0,0,8,0,16,3,0,5,0,17,0,0,2,1,0,0,0,0,13,0,0,0,1,0,5,1,0,6,0,0,2,0,10,0,0,4,0,0,0,8,0,0,8,0,0,0,3,0,0,0,2,1,0,6,0,0,1,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2025-05-25,23,2,22,0,0,15,18,0,0,79,4,0,0,7,47,22,8,0,0,1,0,1,0,0,1,20,7,0,0,7,0,17,3,0,4,0,16,0,0,3,1,0,0,0,2,15,0,0,0,1,0,4,4,0,5,0,0,3,0,12,0,0,5,0,0,0,10,0,0,10,0,0,0,5,0,0,1,1,1,0,6,0,0,1,0,0,0,0,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2025-06-01,20,3,21,0,0,16,18,0,0,82,3,0,0,4,44,27,7,0,0,1,0,1,0,0,1,23,10,0,0,8,0,17,3,0,5,0,18,0,0,2,2,0,0,0,3,17,0,0,0,1,0,5,4,0,6,0,0,2,0,12,0,0,6,0,0,0,9,0,0,12,0,0,0,4,0,0,1,2,1,0,7,1,0,2,0,0,0,0,3,0,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2025-06-08,28,2,23,0,0,16,19,0,1,91,3,0,0,13,46,29,6,0,0,2,0,1,0,0,1,21,9,0,0,8,0,19,3,0,5,0,15,0,0,2,2,0,0,0,3,19,0,0,0,1,0,5,2,0,7,1,0,3,0,12,0,0,6,0,0,0,10,0,0,12,0,0,0,5,0,0,2,2,1,0,9,1,0,1,0,0,0,0,3,0,1,0,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0
2025-06-15,29,3,22,0,0,18,23,0,0,91,3,0,0,4,58,33,7,0,0,2,0,1,0,0,1,24,10,0,0,9,0,26,3,0,4,0,16,0,0,2,1,0,0,0,3,21,0,0,0,1,0,10,4,0,5,1,0,5,0,10,0,0,5,0,0,0,11,0,0,11,0,0,0,6,0,0,1,2,1,0,9,1,0,2,0,0,0,0,7,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
