Semana,ABDON BATISTA,ABELARDO LUZ,ALFREDO WAGNER,ALTO BELA VISTA,ANCHIETA,ANITÁPOLIS,ANTÔNIO CARLOS,APIÚNA,ARABUTÃ,ARAQUARI,ARARANGUÁ,ARROIO TRINTA,ARVOREDO,ASCURRA,AURORA,BALNEÁRIO BARRA DO SUL,BALNEÁRIO CAMBORIÚ,BALNEÁRIO GAIVOTA,BALNEÁRIO PIÇARRAS,BALNEÁRIO RINCÃO,BANDEIRANTE,BARRA BONITA,BARRA VELHA,BELMONTE,BENEDITO NOVO,BIGUAÇU,BLUMENAU,BOM JARDIM DA SERRA,BOM JESUS,BOM JESUS DO OESTE,BOMBINHAS,BOTUVERÁ,BRAÇO DO NORTE,BRUSQUE,CAIBI,CAMBORIÚ,CAMPO ALEGRE,CAMPO ERÊ,CAMPOS NOVOS,CANELINHA,CANOINHAS,CAPINZAL,CAPIVARI DE BAIXO,CAPÃO ALTO,CATANDUVAS,CAXAMBU DO SUL,CAÇADOR,CELSO RAMOS,CHAPECÓ,COCAL DO SUL,CONCÓRDIA,CORDILHEIRA ALTA,CORONEL FREITAS,CORONEL MARTINS,CORREIA PINTO,CORUPÁ,CRICIÚMA,CUNHA PORÃ,CUNHATAÍ,CURITIBANOS,DESCANSO,DIONÍSIO CERQUEIRA,DOUTOR PEDRINHO,ENTRE RIOS,ERVAL VELHO,FAXINAL DOS GUEDES,FLOR DO SERTÃO,FLORIANÓPOLIS,FORMOSA DO SUL,FORQUILHINHA,FRAIBURGO,GALVÃO,GAROPABA,GARUVA,GASPAR,GOVERNADOR CELSO RAMOS,GRAVATAL,GUABIRUBA,GUARACIABA,GUARAMIRIM,GUARUJÁ DO SUL,GUATAMBÚ,HERVAL D'OESTE,IBICARÉ,IBIRAMA,ILHOTA,IMARUÍ,IMBITUBA,IMBUIA,INDAIAL,IOMERÊ,IPIRA,IPORÃ DO OESTE,IPUAÇU,IPUMIRIM,IRACEMINHA,IRANI,IRATI,IRINEÓPOLIS,ITAJAÍ,ITAPEMA,ITAPIRANGA,ITAPOÁ,ITUPORANGA,ITÁ,IÇARA,JABORÁ,JAGUARUNA,JARAGUÁ DO SUL,JARDINÓPOLIS,JOAÇABA,JOINVILLE,JOSÉ BOITEUX,JUPIÁ,LACERDÓPOLIS,LAGES,LAGUNA,LAJEADO GRANDE,LAURENTINO,LAURO MÜLLER,LEOBERTO LEAL,LINDÓIA DO SUL,LONTRAS,LUIZ ALVES,LUZERNA,MAFRA,MAJOR GERCINO,MARACAJÁ,MARAVILHA,MAREMA,MASSARANDUBA,MODELO,MONDAÍ,MORRO DA FUMAÇA,NAVEGANTES,NOVA ERECHIM,NOVA ITABERABA,NOVA TRENTO,NOVA VENEZA,NOVO HORIZONTE,ORLEANS,OURO,OURO VERDE,PAIAL,PALHOÇA,PALMA SOLA,PALMITOS,PAPANDUVA,PARAÍSO,PASSO DE TORRES,PASSOS MAIA,PAULO LOPES,PENHA,PERITIBA,PINHALZINHO,PIRATUBA,PLANALTO ALEGRE,POMERODE,PONTE ALTA,PONTE SERRADA,PORTO BELO,PORTO UNIÃO,POUSO REDONDO,PRESIDENTE GETÚLIO,PRESIDENTE NEREU,PRINCESA,QUILOMBO,RANCHO QUEIMADO,RIO DO OESTE,RIO DO SUL,RIO DOS CEDROS,RIO NEGRINHO,RIQUEZA,RODEIO,ROMELÂNDIA,SALETE,SALTINHO,SALTO VELOSO,SANTA HELENA,SANTA TEREZINHA,SANTA TEREZINHA DO PROGRESSO,SANTIAGO DO SUL,SANTO AMARO DA IMPERATRIZ,SAUDADES,SCHROEDER,SEARA,SERRA ALTA,SOMBRIO,SUL BRASIL,SÃO BENTO DO SUL,SÃO BERNARDINO,SÃO BONIFÁCIO,SÃO CARLOS,SÃO DOMINGOS,SÃO FRANCISCO DO SUL,SÃO JOSÉ,SÃO JOSÉ DO CEDRO,SÃO JOÃO BATISTA,SÃO JOÃO DO ITAPERIÚ,SÃO JOÃO DO OESTE,SÃO LOURENÇO DO OESTE,SÃO LUDGERO,SÃO MIGUEL DA BOA VISTA,SÃO MIGUEL DO OESTE,SÃO PEDRO DE ALCÂNTARA,TAIÓ,TANGARÁ,TIGRINHOS,TIJUCAS,TIMBÓ,TREZE TÍLIAS,TROMBUDO CENTRAL,TUBARÃO,TUNÁPOLIS,UNIÃO DO OESTE,URUBICI,URUSSANGA,VARGEM BONITA,VARGEÃO,VIDAL RAMOS,VIDEIRA,XANXERÊ,XAVANTINA,XAXIM,ZORTÉA,ÁGUA DOCE,ÁGUAS DE CHAPECÓ,ÁGUAS FRIAS,ÁGUAS MORNAS,AGROLÂNDIA,AGRONÔMICA,ANGELINA,ARMAZÉM,BALNEÁRIO ARROIO DO SILVA,BELA VISTA DO TOLDO,BOM RETIRO,BRAÇO DO TROMBUDO,CALMON,CAMPO BELO DO SUL,CHAPADÃO DO LAGEADO,DONA EMMA,ERMO,GRÃO-PARÁ,IBIAM,ITAIÓPOLIS,JACINTO MACHADO,LEBON RÉGIS,MACIEIRA,MAJOR VIEIRA,MELEIRO,MIRIM DOCE,MONTE CARLO,MONTE CASTELO,MORRO GRANDE,OTACÍLIO COSTA,PEDRAS GRANDES,PESCARIA BRAVA,PETROLÂNDIA,PINHEIRO PRETO,PRESIDENTE CASTELLO BRANCO,RIO DAS ANTAS,RIO DO CAMPO,RIO FORTUNA,RIO RUFINO,SANGÃO,SANTA CECÍLIA,SANTA ROSA DE LIMA,SANTA ROSA DO SUL,SIDERÓPOLIS,SÃO CRISTÓVÃO DO SUL,SÃO JOAQUIM,SÃO MARTINHO,TIMBÉ DO SUL,TIMBÓ GRANDE,TREVISO,TREZE DE MAIO,TRÊS BARRAS,TURVO,VARGEM,VITOR MEIRELES
2025-06-22,0,0,0,0,0,0,7,0,0,50,0,0,0,0,0,24,110,6,9,0,2,0,23,0,1,53,110,0,0,0,39,0,2,14,0,62,1,0,0,2,0,2,0,0,0,0,24,0,74,0,1,1,0,0,0,13,0,2,0,0,0,0,0,0,0,0,0,203,0,0,0,0,2,10,7,5,0,1,0,21,1,1,1,0,2,5,0,0,0,9,4,0,0,0,0,0,0,0,0,429,39,1,60,0,0,0,1,0,121,0,1,431,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,3,0,5,0,0,0,44,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,17,0,7,0,0,4,0,0,33,3,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,8,3,0,0,0,3,0,0,1,0,22,145,1,2,0,0,0,0,0,6,0,0,1,0,56,14,0,0,2,0,0,0,0,0,0,0,23,4,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-06,0,0,0,0,1,0,4,0,0,30,1,0,0,0,0,13,76,4,4,0,0,0,28,0,1,36,97,0,0,0,31,0,0,20,0,33,0,0,0,3,0,0,0,0,0,1,12,0,43,0,2,2,0,0,0,7,4,3,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,9,6,4,0,1,0,12,0,0,2,0,1,5,0,3,0,17,0,0,0,2,0,0,0,0,0,212,12,4,53,0,1,0,1,0,68,0,2,375,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,1,0,0,0,33,0,0,0,0,0,0,0,0,0,72,0,4,0,0,0,0,0,12,0,6,0,0,2,0,0,20,3,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,9,2,0,2,0,2,1,0,1,0,21,119,0,0,0,0,0,0,0,5,0,0,0,0,28,5,0,0,2,0,0,0,0,1,0,0,13,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-13,0,0,0,0,2,0,5,0,0,24,3,0,0,0,0,7,73,5,5,0,0,0,12,0,2,29,83,0,0,0,38,0,2,21,0,27,0,0,0,5,0,0,1,0,0,1,9,0,42,0,4,0,2,0,0,6,6,2,0,0,0,0,0,0,0,0,0,143,0,0,0,0,4,10,7,2,0,1,0,22,0,0,1,0,1,4,0,1,0,4,0,0,0,1,0,0,0,0,0,202,10,0,54,0,0,0,0,0,50,0,0,277,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,3,0,1,0,0,0,32,0,0,0,0,0,0,0,0,2,59,0,0,0,0,0,0,0,19,0,1,0,0,2,0,0,18,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,1,1,16,130,0,2,0,0,0,0,0,3,1,0,0,0,26,6,0,1,0,0,0,0,0,0,0,0,1,2,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-20,0,0,0,0,2,0,5,0,0,23,3,0,0,0,0,9,75,5,4,0,0,0,11,0,1,23,74,0,0,0,39,0,1,18,0,29,0,0,0,3,0,0,0,0,0,0,8,0,53,0,1,0,1,0,0,6,5,2,0,0,0,0,0,0,0,0,0,124,0,0,0,0,1,8,6,2,0,1,0,14,0,0,1,0,0,4,0,1,0,7,0,0,0,0,0,0,0,0,0,159,11,0,50,0,0,0,0,0,52,0,1,269,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,2,0,0,0,23,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,8,0,2,0,0,1,0,0,16,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,2,0,0,0,0,15,116,0,1,0,0,1,0,2,1,1,0,0,0,28,5,0,1,0,0,0,0,0,0,0,0,1,9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-27,0,0,0,0,1,0,2,0,0,20,2,0,0,0,0,9,76,3,4,0,0,0,13,0,1,24,79,0,0,0,34,0,1,15,0,27,0,0,0,4,0,0,0,0,0,0,8,0,67,0,2,0,0,0,0,9,4,3,0,0,0,0,0,0,0,0,0,141,0,0,0,0,2,9,8,2,0,0,0,9,0,0,1,0,1,8,0,3,0,12,0,0,0,0,0,0,0,0,0,178,10,0,48,0,0,0,1,0,55,0,2,278,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,2,0,0,0,28,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,5,0,2,0,0,1,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,7,1,0,0,0,1,0,0,0,0,16,110,0,1,0,0,3,0,0,1,0,0,0,0,27,6,0,0,2,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-03,0,1,0,0,0,0,2,0,0,19,2,0,0,0,0,10,43,2,4,0,0,0,17,0,0,24,67,0,0,0,28,0,1,14,0,21,0,0,0,3,0,0,0,0,0,0,7,0,64,0,1,0,0,0,0,7,2,2,0,0,0,0,0,0,0,1,0,124,0,0,0,0,1,7,7,1,0,0,0,8,0,1,0,0,0,5,0,1,0,10,0,0,0,0,0,0,0,0,0,160,7,0,39,0,0,0,0,0,55,0,1,262,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,25,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,4,0,3,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0,4,1,0,0,0,2,0,0,0,0,12,101,0,1,0,0,1,0,0,1,0,0,0,0,25,6,0,0,1,0,0,0,0,0,0,0,6,4,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-10,0,2,0,0,3,0,4,0,0,27,1,0,0,0,0,5,54,5,8,0,0,0,17,0,0,30,40,0,0,0,29,0,4,18,0,25,0,0,0,2,0,0,2,0,0,0,16,0,71,0,4,4,0,0,0,2,4,1,0,0,0,0,0,0,0,1,0,123,0,0,0,0,3,5,5,4,0,0,0,10,0,2,0,0,0,10,0,0,0,1,0,0,0,0,2,0,0,0,0,117,9,4,50,0,2,0,0,0,54,0,3,242,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,23,0,0,0,0,0,0,0,0,1,38,0,2,0,0,0,0,0,5,0,9,0,0,2,0,0,18,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,6,1,0,2,0,0,0,0,0,0,6,119,0,0,0,0,4,1,0,7,0,0,0,0,25,8,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-17,0,0,0,0,0,0,3,0,0,21,1,0,0,0,0,5,43,5,5,0,0,0,10,0,0,23,55,0,0,0,24,0,5,14,0,17,0,0,0,2,0,1,1,0,0,0,12,0,45,0,3,1,0,0,0,3,4,1,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,12,4,3,0,0,0,12,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,111,6,1,40,0,0,0,0,0,44,0,1,190,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,23,0,0,0,0,0,0,1,0,1,19,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,68,0,0,0,0,2,1,0,5,0,0,0,0,20,5,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-24,0,1,0,0,0,0,3,1,0,11,1,1,0,0,0,10,32,0,3,0,0,0,12,0,0,22,44,0,0,0,39,0,9,9,0,13,0,1,0,3,0,0,0,0,0,0,8,0,45,0,7,0,0,0,0,7,0,1,0,0,0,1,0,1,0,0,0,134,0,0,0,0,0,5,8,2,0,0,0,11,0,0,1,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,93,3,1,53,0,0,0,0,0,46,0,2,264,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,11,0,0,0,21,5,0,1,0,0,0,1,0,0,13,0,0,0,0,2,0,0,2,0,1,0,0,1,0,0,12,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,2,0,0,0,0,6,47,0,1,0,0,0,0,0,1,0,0,0,0,12,7,0,0,1,0,0,0,0,0,0,0,3,1,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-31,0,3,0,0,1,0,4,0,0,21,2,0,0,0,0,8,71,3,5,0,0,1,12,0,0,22,77,0,1,0,23,0,0,16,0,29,0,0,0,2,0,2,0,0,0,0,11,0,76,0,2,2,0,0,0,5,5,3,0,0,0,0,0,0,0,2,0,122,0,0,0,0,4,17,7,2,0,0,0,8,0,1,0,0,0,9,0,2,0,19,0,0,0,0,1,1,0,0,0,176,6,2,51,0,0,0,0,0,51,0,2,289,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,18,0,0,0,0,1,0,0,1,0,55,1,5,0,0,0,0,0,4,0,6,0,0,1,0,0,10,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,3,0,0,0,0,0,2,3,5,3,0,0,0,1,1,0,0,0,11,131,0,3,0,0,2,0,1,1,0,0,0,2,19,7,0,0,1,1,0,0,0,0,0,0,12,5,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
